Country,Exchange_Rate_per_USD,Female_Literacy_Rate,Male_Literacy_Rate,Median_Age,Population_Below_Poverty_Line_percent,Public_Debt_percent_of_GDP,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Literacy_Rate,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,Youth_Unemployment_Rate_percent,broadband_fixed_subscriptions_total,electricity_access_percent,internet_users_total,mobile_cellular_subscriptions_total
BRAZIL,5.394,9.4,16.2,33.2,4.2,100.59,4.62,14600.0,94.3,218689757.0,14.4,31.9,31.9,31500000.0,99.0,140908998.0,207046813.0
BRITISH VIRGIN ISLANDS,,,,37.2,,,2.0,34200.0,,39369.0,2.9,,,6738.0,100.0,24087.0,35000.0
BRUNEI,1.344,2.3,30.0,31.1,,2.8,-1.59,60100.0,97.6,484991.0,7.65,23.4,23.4,71078.0,100.0,441000.0,603486.0
BULGARIA,1.654,37.1,40.9,43.7,23.8,32.24,7.63,24400.0,98.4,6827736.0,5.42,14.2,14.2,2115053.0,99.0,5175000.0,7902756.0
BURKINA FASO,554.531,6.4,22.1,17.9,41.4,72.53,6.91,2200.0,46.0,22489126.0,4.76,7.7,7.7,13979.0,18.0,4840000.0,24678315.0
BURMA,1.0,19.7,68.5,29.2,24.8,33.6,-17.91,4000.0,89.1,57970293.0,2.17,6.4,6.4,688185.0,72.0,23760000.0,67930093.0
BURUNDI,1.0,6.1,17.4,17.7,64.6,51.7,1.8,700.0,74.7,13162952.0,1.79,3.4,3.4,4230.0,10.0,754000.0,7740494.0
CABO VERDE,93.218,5.4,17.3,26.8,35.0,125.8,6.95,6100.0,90.8,603901.0,15.42,34.3,34.3,24839.0,95.0,413000.0,590171.0
CAMBODIA,4.0,6.0,36.1,26.4,16.5,30.4,3.03,4400.0,83.9,16891245.0,0.61,1.8,1.8,233732.0,82.0,10200000.0,19899790.0
CAMEROON,554.531,1.4,13.2,18.5,37.5,36.9,3.65,3700.0,77.1,30135732.0,3.87,6.6,6.6,722579.0,65.0,12420000.0,22442414.0
CANADA,1.254,10.7,15.3,41.8,9.4,72.09,4.54,47900.0,,38516736.0,7.51,14.0,14.0,15390000.0,100.0,33950632.0,35960000.0
CAYMAN ISLANDS,,99.0,98.7,40.5,,,,,98.9,65483.0,,13.8,13.8,,,,
CENTRAL AFRICAN REPUBLIC,554.531,25.8,49.5,20.0,62.0,52.9,0.9,800.0,37.4,5552228.0,6.57,11.8,11.8,499.0,15.0,605000.0,1800000.0
CHAD,554.531,2.7,13.8,16.1,42.3,52.5,-1.2,1400.0,26.8,18523165.0,1.88,2.4,2.4,,11.0,3060000.0,10000000.0
CHILE,758.955,26.8,31.6,35.5,8.6,23.6,11.67,25400.0,97.0,18549457.0,9.13,21.4,21.4,3763826.0,100.0,17100000.0,26571823.0
CHINA,6.73,1.7,49.4,38.4,1.7,76.9,3.0,12500.0,96.8,1413142846.0,5.2,11.4,16.7,483550000.0,100.0,1010740000.0,1750460000.0
CHRISTMAS ISLAND,1.311,,,,,,,,,2205.0,,,,,,1139.0,
