Country,Area_Total,Coastline,Exports_billion_USD,Imports_billion_USD,Land_Boundaries,Population_Growth_Rate,Real_GDP_Growth_Rate_percent,Real_GDP_PPP_billion_USD,Total_Population,airports_paved_runways_count,airports_unpaved_runways_count,gas_pipelines_km,heliports_count,oil_pipelines_km,petroleum_bbl_per_day,railways_km,refined_petroleum_exports_bbl_per_day,refined_petroleum_imports_bbl_per_day,refined_petroleum_products_bbl_per_day,refined_products_pipelines_km,roadways_km,waterways_km
BELGIUM,"30,528 sq km",66.5 km,515.62,509.02,"1,297 km",0.55,6.13,599.81,11913633.0,26.0,15.0,3139.0,1.0,154.0,11400.0,3602.0,680800.0,601400.0,731700.0,,118414.0,2043.0
BELIZE,"22,966 sq km",386 km,1.04,1.25,542 km,1.61,15.23,3.5,419137.0,6.0,41.0,,,,1300.0,,0.0,4161.0,36.0,,3281.0,825.0
BENIN,"112,622 sq km",,3.51,3.94,"2,123 km",3.31,7.16,43.17,14219908.0,1.0,5.0,134.0,,,0.0,438.0,1514.0,38040.0,0.0,,16000.0,150.0
BERMUDA,54 sq km,103 km,1.12,1.93,0 km,0.32,5.41,5.13,72576.0,1.0,,,,,0.0,,,3939.0,,,447.0,
BHUTAN,"38,394 sq km",0 km,741.6,1.03,"1,136 km",0.96,4.09,8.48,876181.0,2.0,1.0,,,,0.0,,0.0,3120.0,0.0,,12205.0,
BOLIVIA,"1,098,581 sq km",0 km,11.44,10.8,"7,252 km",1.06,6.11,97.27,12186079.0,21.0,834.0,5457.0,,2511.0,65400.0,3960.0,9686.0,20620.0,65960.0,,90568.0,10000.0
BOSNIA AND HERZEGOVINA,"51,197 sq km",20 km,9.95,12.73,"1,543 km",0.23,7.55,51.24,3807764.0,7.0,17.0,147.0,6.0,,0.0,965.0,4603.0,18280.0,0.0,,22926.0,990.0
BOTSWANA,"581,730 sq km",0 km,7.93,9.28,"4,347.15 km",1.37,11.37,38.41,2417596.0,10.0,64.0,,,,0.0,888.0,,21090.0,,,31747.0,
BRAZIL,"8,515,770 sq km","7,491 km",317.18,297.92,"16,145 km",0.64,4.62,3128.0,218689757.0,698.0,3395.0,17312.0,13.0,5959.0,3629100.0,29850.0,279000.0,490400.0,2811000.0,6000.0,2000000.0,50000.0
BRITISH VIRGIN ISLANDS,151 sq km,80 km,23.0,300.0,0 km,1.87,2.0,500.0,39369.0,2.0,2.0,,,,0.0,,,1227.0,,,200.0,
BRUNEI,"5,765 sq km",161 km,11.2,9.22,266 km,1.43,-1.59,26.78,484991.0,1.0,417.0,33.0,3.0,,107300.0,,0.0,6948.0,10310.0,,2976.0,209.0
BULGARIA,"110,879 sq km",354 km,51.51,50.06,"1,806 km",0.66,7.63,167.8,6827736.0,57.0,11.0,2765.0,1.0,346.0,4500.0,4029.0,92720.0,49260.0,144300.0,,19512.0,470.0
BURKINA FASO,"274,200 sq km",0 km,5.36,4.78,"3,611 km",2.46,6.91,48.17,22489126.0,2.0,21.0,,,,0.0,622.0,0.0,23580.0,0.0,,15304.0,
