Country,Agricultural_Land,Area_Total,Irrigated_Land,Land_Area,Median_Age,Net_Migration_Rate,Population_Below_Poverty_Line_percent,Population_Growth_Rate,Public_Debt_percent_of_GDP,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,airports_paved_runways_count,broadband_fixed_subscriptions_total,internet_users_total,mobile_cellular_subscriptions_total,railways_km,roadways_km
MADAGASCAR,71.1,"587,041 sq km","10,860 sq km","581,540 sq km",20.3,0.0,70.7,2.22,36.0,4.4,1500.0,28812195.0,2.59,4.8,26.0,32000.0,5800000.0,16279633.0,836.0,31640.0
MALAWI,59.2,"118,484 sq km",740 sq km,"94,080 sq km",16.8,0.0,51.5,2.28,44.89,2.75,1500.0,21279597.0,7.02,9.9,7.0,12255.0,4800000.0,11940135.0,767.0,15452.0
MALAYSIA,23.2,"329,847 sq km","4,420 sq km","328,657 sq km",29.2,1.46,5.6,1.01,62.03,3.09,26300.0,34219975.0,4.61,15.6,39.0,3358800.0,32979999.0,47201700.0,1851.0,144403.0
MALDIVES,23.3,298 sq km,0 sq km,298 sq km,29.5,12.8,8.2,0.17,63.9,41.75,18800.0,389568.0,6.08,17.7,7.0,63685.0,447200.0,706043.0,,93.0
MALI,34.1,"1,240,192 sq km","3,780 sq km","1,220,190 sq km",16.0,2.99,42.1,2.93,35.4,3.05,2100.0,21359722.0,7.72,17.3,8.0,243806.0,7480000.0,21882251.0,593.0,139107.0
MALTA,32.3,316 sq km,35 sq km,316 sq km,42.3,4.96,17.1,0.59,50.7,10.3,44700.0,467138.0,3.5,9.8,1.0,213419.0,461100.0,644955.0,,3096.0
MARSHALL ISLANDS,50.7,181 sq km,0 sq km,181 sq km,23.8,4.31,,1.3,41.71,1.11,6000.0,80966.0,36.0,26.0,4.0,1000.0,16254.0,16000.0,,2028.0
MAURITANIA,38.5,"1,030,700 sq km",450 sq km,"1,030,700 sq km",21.0,0.71,31.0,1.96,96.6,2.45,5300.0,4244878.0,11.46,23.0,9.0,18457.0,2714000.0,6512361.0,728.0,12253.0
MAURITIUS,43.8,"2,040 sq km",158 sq km,"2,030 sq km",36.3,0.0,,0.09,,,,1309448.0,,25.3,,,,,,
MEXICO,54.9,"1,964,375 sq km","60,620 sq km","1,943,945 sq km",29.3,0.77,41.9,0.61,54.3,4.72,19100.0,129875529.0,4.38,8.1,243.0,21936131.0,98800000.0,123920752.0,23389.0,704884.0
"MICRONESIA, FEDERATED STATES OF",25.5,702 sq km,0 sq km,702 sq km,26.3,20.92,41.2,0.7,25.4,-3.19,3300.0,100319.0,16.2,18.9,6.0,6000.0,44000.0,22000.0,,
MOLDOVA,74.9,"33,851 sq km","2,155 sq km","32,891 sq km",37.7,8.8,7.3,1.14,33.01,13.94,14000.0,3250532.0,3.96,8.6,5.0,719001.0,1891000.0,3900179.0,1171.0,9352.0
MONACO,1.0,2 sq km,0 sq km,2 sq km,55.4,10.89,,0.66,,21.55,115700.0,31597.0,2.0,26.6,,20877.0,31820.0,36255.0,,
MONGOLIA,73.0,"1,564,116 sq km",602 sq km,"1,553,556 sq km",29.8,0.77,28.4,0.83,73.94,1.64,11700.0,3255468.0,7.08,21.0,15.0,307166.0,2772000.0,4687304.0,1815.0,113200.0
MONTENEGRO,38.2,"13,812 sq km",24 sq km,"13,452 sq km",39.6,4.99,24.5,0.43,67.2,12.43,20600.0,602445.0,18.49,31.6,5.0,184176.0,516600.0,1120074.0,250.0,7762.0
MONTSERRAT,30.0,102 sq km,0 sq km,102 sq km,34.8,0.0,,0.46,,,,5440.0,,,,,,,,
MOROCCO,67.5,"716,550 sq km","17,645 sq km","716,300 sq km",29.1,1.73,4.8,0.88,65.1,7.93,8100.0,37067420.0,11.47,27.2,36.0,2102434.0,32560000.0,52012000.0,2067.0,57300.0
MOZAMBIQUE,56.3,"799,380 sq km","1,180 sq km","786,380 sq km",17.0,1.54,46.1,2.55,102.88,2.36,1200.0,32513805.0,3.98,8.1,21.0,70000.0,5440000.0,13686234.0,4787.0,31083.0
NAMIBIA,47.2,"824,292 sq km",80 sq km,"823,290 sq km",22.5,0.0,,1.83,,,,2727409.0,,43.4,,,,,,
NAURU,20.0,21 sq km,0 sq km,21 sq km,27.0,10.15,,0.42,62.0,1.5,11900.0,9852.0,23.0,26.6,1.0,950.0,10920.0,10000.0,,30.0
NEPAL,28.8,"147,181 sq km","13,320 sq km","143,351 sq km",25.3,4.29,25.2,0.74,39.05,4.25,3800.0,30899443.0,5.05,9.5,11.0,1270000.0,15600000.0,38000000.0,59.0,27990.0
NETHERLANDS,55.1,"41,543 sq km","2,969 sq km","33,893 sq km",42.8,1.89,13.6,0.36,56.5,4.86,56600.0,17463930.0,4.01,9.6,23.0,7525016.0,16559999.0,21888000.0,3055.0,139124.0
NEW CALEDONIA,10.4,"18,575 sq km",100 sq km,"18,275 sq km",32.9,3.62,17.0,1.17,6.5,2.0,35700.0,300682.0,16.57,41.0,12.0,55000.0,237800.0,260000.0,,5622.0
NEW ZEALAND,43.2,"268,838 sq km","7,000 sq km","264,537 sq km",37.2,4.4,,0.92,,,,5223100.0,,9.2,,,,,,
NICARAGUA,42.2,"130,370 sq km","1,990 sq km","119,990 sq km",27.3,2.04,24.9,0.91,33.3,10.34,5600.0,6359689.0,5.96,11.6,12.0,290351.0,3933000.0,6233864.0,,23897.0
NIGER,35.1,1.267 million sq km,"2,666 sq km","1,266,700 sq km",14.8,0.62,40.8,3.66,45.3,1.39,1200.0,25396840.0,0.75,1.0,10.0,12000.0,5500000.0,14000000.0,,18949.0
NIGERIA,78.0,"923,768 sq km","2,930 sq km","910,768 sq km",18.6,0.21,40.1,2.53,21.8,3.65,4900.0,230842743.0,9.79,19.6,40.0,65313.0,115500000.0,195128265.0,3798.0,195000.0
NIUE,19.1,260 sq km,0 sq km,260 sq km,,,,0.03,,6.2,11100.0,2000.0,12.0,,1.0,,1512.0,,,234.0
NORFOLK ISLAND,25.0,36 sq km,0 sq km,36 sq km,,,,0.01,,,,1748.0,,,1.0,,806.0,,,80.0
NORTH MACEDONIA,44.3,"25,713 sq km",844 sq km,"25,433 sq km",39.0,0.38,21.6,0.11,39.3,3.96,16500.0,2133410.0,16.2,34.1,8.0,475569.0,1743000.0,1941352.0,699.0,14182.0
NORTHERN MARIANA ISLANDS,6.6,464 sq km,1 sq km,464 sq km,32.8,13.51,,0.35,7.1,-11.14,24500.0,51295.0,11.2,,3.0,,12299.0,20474.0,,536.0
NORWAY,2.7,"323,802 sq km",337 sq km,"304,282 sq km",39.5,3.89,12.7,0.79,36.5,3.3,67500.0,5597924.0,4.99,13.0,67.0,2387661.0,5346000.0,5800000.0,3848.0,94902.0
OMAN,4.7,"309,500 sq km","1,079 sq km","309,500 sq km",26.2,0.46,,1.8,46.9,3.09,34300.0,3833465.0,3.12,14.6,13.0,508949.0,4320000.0,6115537.0,,60230.0
PAKISTAN,35.2,"796,095 sq km","193,400 sq km","770,875 sq km",22.0,1.01,24.3,1.91,67.0,6.49,5200.0,247653551.0,4.35,9.4,108.0,2523027.0,48300000.0,188711452.0,11881.0,264175.0
PALAU,10.8,459 sq km,0 sq km,459 sq km,33.9,0.64,24.9,0.39,86.13,-13.33,13800.0,21779.0,1.7,5.6,1.0,1224.0,6696.0,24000.0,,125.0
PANAMA,30.5,"75,420 sq km",407 sq km,"74,340 sq km",30.1,3.22,22.1,1.51,37.8,15.34,29000.0,4404108.0,12.09,30.0,57.0,562413.0,2992000.0,6003255.0,77.0,
PAPUA NEW GUINEA,2.6,"462,840 sq km",0 sq km,"452,860 sq km",24.0,0.0,37.0,2.31,48.68,0.3,3700.0,9819350.0,2.75,5.3,21.0,21000.0,3168000.0,4800000.0,,9349.0
PARAGUAY,53.8,"406,752 sq km","1,362 sq km","397,302 sq km",29.7,0.07,23.5,1.12,19.5,4.1,13700.0,7439863.0,7.21,16.3,15.0,562369.0,5159000.0,7975074.0,30.0,78811.0
PERU,18.8,"1,285,216 sq km","25,800 sq km","1,279,996 sq km",29.1,0.89,20.2,0.5,34.67,13.35,12500.0,32440172.0,4.83,11.2,59.0,3044000.0,24140000.0,43129394.0,,18699.0
PHILIPPINES,41.0,"300,000 sq km","16,270 sq km","298,170 sq km",25.7,-1.88,16.7,1.58,39.9,5.7,8100.0,109035343.0,2.41,7.3,7.0,7936574.0,58300000.0,163345244.0,,
PITCAIRN ISLANDS,0.0,47 sq km,0 sq km,47 sq km,,,,0.0,,,,50.0,,,,,,,,
POLAND,48.2,"312,685 sq km",760 sq km,"304,255 sq km",41.9,0.34,15.4,0.28,50.6,6.85,34900.0,37991766.0,3.37,13.4,87.0,8369218.0,32299999.0,50588785.0,19461.0,420000.0
PORTUGAL,39.7,"92,090 sq km","5,662 sq km","91,470 sq km",44.6,1.2,17.2,0.17,125.7,5.48,33700.0,10223150.0,6.65,23.1,43.0,4160795.0,8199999.0,12476165.0,2526.0,82900.0
PUERTO RICO,22.0,"9,104 sq km",220 sq km,"8,959 sq km",43.6,10.76,,1.29,51.6,0.21,32600.0,3057311.0,8.27,18.5,17.0,671284.0,2564100.0,3661176.0,,26862.0
QATAR,5.6,"11,586 sq km",130 sq km,"11,586 sq km",33.7,0.78,,0.86,53.8,1.59,92900.0,2532104.0,0.26,1.1,4.0,296126.0,2700000.0,3876499.0,,7039.0
ROMANIA,60.7,"238,391 sq km","4,730 sq km","229,891 sq km",42.5,3.86,23.8,1.01,57.11,5.1,30800.0,18326327.0,5.17,20.6,26.0,5684782.0,15960000.0,22929000.0,10628.0,84185.0
RUSSIA,13.1,"17,098,242 sq km","43,000 sq km","16,377,742 sq km",40.3,1.7,12.6,0.24,23.05,4.75,28000.0,141698923.0,5.01,16.9,594.0,33893305.0,132000000.0,250000000.0,85494.0,1283387.0
RWANDA,74.5,"26,338 sq km",96 sq km,"24,668 sq km",19.7,3.16,38.2,1.68,40.5,10.88,2200.0,13400541.0,1.61,2.9,4.0,17685.0,3900000.0,10902989.0,,4700.0
SAINT BARTHELEMY,,25 sq km,,25 sq km,47.0,1.3,,0.11,,,,7093.0,,,1.0,,7077.0,,,40.0
"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",30.8,394 sq km,0 sq km,122 sq km,44.7,0.0,,0.11,,,7800.0,7935.0,14.0,,2.0,1000.0,2287.0,4000.0,,198.0
SAINT KITTS AND NEVIS,23.1,261 sq km,8 sq km,261 sq km,38.1,1.2,,0.59,62.9,-0.88,26500.0,54817.0,4.5,,2.0,30000.0,37920.0,57000.0,50.0,383.0
SAINT LUCIA,17.4,616 sq km,30 sq km,606 sq km,39.0,0.8,25.0,0.27,70.7,12.23,13000.0,167591.0,16.91,38.7,2.0,33000.0,140400.0,170000.0,,1210.0
SAINT MARTIN,,50 sq km,,50 sq km,34.0,6.2,,0.31,,,19300.0,32897.0,,,1.0,,19284.0,68840.0,,
SAINT PIERRE AND MIQUELON,8.7,242 sq km,0 sq km,242 sq km,50.6,7.1,,1.19,,,46200.0,5195.0,8.7,,2.0,,5099.0,,,117.0
SAINT VINCENT AND THE GRENADINES,25.6,389 sq km,10 sq km,389 sq km,37.0,6.1,,0.16,73.8,1.35,13700.0,100804.0,21.62,41.1,5.0,24733.0,85000.0,114892.0,,
SAMOA,12.4,"2,831 sq km",0 sq km,"2,821 sq km",26.9,7.2,20.3,0.65,49.1,-7.08,5500.0,207501.0,9.84,19.7,1.0,1692.0,171600.0,69000.0,,1150.0
SAN MARINO,16.7,61 sq km,0 sq km,61 sq km,45.9,5.9,,0.59,98.35,-6.65,56400.0,34892.0,8.1,27.4,292.0,11000.0,25500.0,40000.0,,292.0
SAO TOME AND PRINCIPE,50.7,964 sq km,100 sq km,964 sq km,20.4,6.8,66.7,1.45,88.4,1.88,4100.0,220372.0,15.91,22.9,2.0,2512.0,112200.0,189239.0,,1300.0
SAUDI ARABIA,80.7,"2,149,690 sq km","11,910 sq km","2,149,690 sq km",32.0,6.1,,1.65,17.2,3.24,44300.0,35939806.0,7.36,28.8,82.0,7890261.0,36000000.0,45427321.0,5410.0,221372.0
SENEGAL,46.8,"196,722 sq km","1,200 sq km","192,530 sq km",19.0,0.7,43.7,2.52,37.9,3.9,2600.0,18384660.0,6.34,8.2,4.0,1000.0,4900000.0,13795000.0,1086.0,44301.0
SERBIA,57.9,"77,474 sq km",520 sq km,"77,474 sq km",43.7,0.0,23.2,0.63,62.5,7.55,19800.0,6693375.0,11.81,30.4,10.0,1730496.0,5589000.0,8501519.0,3333.0,44248.0
SEYCHELLES,6.5,455 sq km,3 sq km,455 sq km,38.2,0.8,25.3,0.6,63.6,7.86,28800.0,97617.0,3.0,16.5,7.0,34966.0,90200.0,184161.0,,526.0
SIERRA LEONE,56.2,"71,740 sq km",300 sq km,"71,620 sq km",19.2,1.7,56.8,2.41,63.9,4.1,1600.0,8908040.0,5.33,10.8,1.0,,1047499.0,8227093.0,,11701.0
SINGAPORE,1.0,719 sq km,0 sq km,709.2 sq km,38.9,4.2,,0.9,153.41,7.61,106000.0,5975383.0,3.62,9.1,9.0,1509700.0,5369000.0,8660700.0,,3500.0
SINT MAARTEN,,34 sq km,,34 sq km,41.1,5.8,,1.19,,-6.6,35300.0,45677.0,12.0,,1.0,,39089.0,68840.0,,53.0
SLOVAKIA,40.1,"49,035 sq km",211 sq km,"48,105 sq km",42.5,0.0,11.9,0.13,77.36,3.01,31900.0,5425319.0,6.74,21.5,19.0,1701561.0,4806000.0,7362325.0,3627.0,56926.0
SLOVENIA,22.8,"20,273 sq km",39 sq km,"20,151 sq km",45.9,1.5,12.0,0.08,73.6,8.21,40000.0,2099790.0,4.42,13.9,9.0,651604.0,1869000.0,2607268.0,1207.0,38985.0
SOLOMON ISLANDS,3.9,"28,896 sq km",0 sq km,"27,986 sq km",24.8,1.5,12.7,1.69,11.46,-0.2,2400.0,714766.0,1.03,1.9,1.0,1000.0,255600.0,470000.0,,1390.0
SOMALIA,70.3,"637,657 sq km","2,000 sq km","627,337 sq km",19.0,1.4,,2.49,76.7,4.05,1100.0,12693796.0,19.86,34.7,8.0,119000.0,2465000.0,8844000.0,,15000.0
SOUTH AFRICA,79.4,"1,219,090 sq km","16,700 sq km","1,214,470 sq km",30.1,0.3,55.5,1.08,53.0,4.91,13300.0,58048332.0,33.56,64.2,130.0,1303057.0,42480000.0,100328005.0,20986.0,750000.0
SOUTH SUDAN,45.0,"644,329 sq km","1,000 sq km",,18.7,20.0,76.4,4.78,62.7,-5.2,1600.0,12118379.0,13.91,21.0,4.0,200.0,869000.0,3300000.0,248.0,90200.0
SPAIN,54.1,"505,370 sq km","38,000 sq km","498,980 sq km",46.3,4.2,,0.12,,7.4,34000.0,47222613.0,5.6,33.9,102.0,2700.0,2473.0,5000.0,15489.0,683175.0
SRI LANKA,43.5,"65,610 sq km","5,700 sq km","64,630 sq km",33.9,1.5,4.1,0.56,79.1,3.33,13400.0,23326272.0,5.39,26.1,11.0,1781530.0,14740000.0,30764134.0,1562.0,114093.0
SUDAN,100.0,"1,861,484 sq km","15,666 sq km","1,731,671 sq km",19.1,1.6,46.5,2.55,121.6,-1.87,3700.0,49197555.0,19.81,35.6,17.0,28782.0,13248000.0,16688773.0,7251.0,31000.0
SURINAME,0.5,"163,820 sq km",600 sq km,"156,000 sq km",31.6,2.5,70.0,1.11,69.3,-2.73,14800.0,639759.0,10.06,30.5,6.0,92270.0,402600.0,906170.0,,4304.0
SVALBARD,0.0,"62,045 sq km",,"62,045 sq km",,5.57,,0.03,,,,2926.0,,,1.0,,,,,40.0
SWEDEN,7.5,"450,295 sq km",519 sq km,"410,335 sq km",41.0,3.8,17.1,0.51,44.0,2.6,54800.0,10536338.0,8.66,24.5,149.0,4179574.0,8800000.0,12843683.0,10910.0,573134.0
SWITZERLAND,38.7,"41,277 sq km",327 sq km,"39,997 sq km",44.0,6.0,,0.78,,,,8563760.0,,9.1,,,,,,
SYRIA,75.8,"187,437 sq km","13,100 sq km","185,887 sq km",23.9,45.8,82.5,6.39,94.8,-3.87,2900.0,22933531.0,10.57,26.2,29.0,1549356.0,8492468.0,16990714.0,2052.0,69873.0
TAIWAN,22.7,"35,980 sq km","3,820 sq km","32,260 sq km",44.0,1.0,1.5,0.03,35.7,2.71,47800.0,23588613.0,3.73,,35.0,5831470.0,21600000.0,30000000.0,,43206.0
TAJIKISTAN,34.7,"144,100 sq km","5,690 sq km","141,510 sq km",22.7,2.0,26.3,1.94,50.4,9.2,3900.0,9245937.0,7.75,17.4,17.0,6000.0,3009054.0,12000000.0,680.0,30000.0
TANZANIA,43.7,"947,300 sq km","1,840 sq km","885,800 sq km",18.9,0.4,26.4,2.75,37.0,4.28,2600.0,65642682.0,2.65,4.6,10.0,1135608.0,20480000.0,54000000.0,4097.0,145203.0
THAILAND,41.2,"513,120 sq km","64,150 sq km","510,890 sq km",41.0,0.2,9.9,0.2,50.4,1.53,17100.0,69794997.0,1.42,7.0,63.0,11478265.0,61200000.0,120000000.0,4127.0,180053.0
TIMOR-LESTE,25.1,"14,874 sq km",350 sq km,"14,874 sq km",20.3,3.8,41.8,2.1,3.8,5.29,5000.0,1476042.0,5.07,13.8,2.0,75.0,507000.0,1400000.0,,6040.0
TOGO,67.4,"56,785 sq km",70 sq km,"54,385 sq km",20.5,1.8,55.1,2.45,75.7,5.26,2100.0,8703961.0,4.0,9.7,2.0,52706.0,3010000.0,6300000.0,568.0,9951.0
TOKELAU,60.0,12 sq km,0 sq km,12 sq km,,3.84,,0.01,,,6004.0,1647.0,2.0,,,,800.0,,,10.0
TONGA,43.1,747 sq km,0 sq km,717 sq km,25.4,18.1,22.5,0.3,49.41,-2.67,6100.0,105221.0,3.97,11.1,1.0,5000.0,73700.0,64000.0,,680.0
TRINIDAD AND TOBAGO,10.6,"5,128 sq km",70 sq km,"5,128 sq km",38.0,1.0,20.0,0.12,41.8,-1.03,23000.0,1407460.0,4.8,12.7,2.0,376771.0,1185000.0,2000000.0,,
TUNISIA,64.8,"163,610 sq km","3,920 sq km","155,360 sq km",34.0,1.3,15.2,0.63,70.3,4.32,10400.0,11976182.0,16.82,38.3,15.0,1334059.0,9480000.0,16000000.0,2173.0,
TURKEY (TURKIYE),49.7,"783,562 sq km","52,150 sq km","769,632 sq km",33.6,1.5,14.4,0.64,41.97,11.35,31500.0,83593483.0,13.39,24.3,91.0,16734853.0,68850000.0,86000000.0,11497.0,67333.0
TURKMENISTAN,72.0,"488,100 sq km","19,950 sq km","469,930 sq km",30.7,1.7,0.2,0.95,28.8,6.3,15000.0,5690818.0,5.08,11.0,21.0,10000.0,1563023.0,6300000.0,5113.0,58592.0
TURKS AND CAICOS ISLANDS,1.1,948 sq km,0 sq km,948 sq km,35.9,8.4,,1.81,,2.1,18500.0,59367.0,10.0,,6.0,,37008.0,25085.0,,121.0
TUVALU,60.0,26 sq km,0 sq km,26 sq km,27.5,6.4,26.3,0.81,37.0,2.99,4900.0,11639.0,,20.6,1.0,450.0,7920.0,9000.0,,8.0
UGANDA,71.2,"241,038 sq km",105 sq km,"197,100 sq km",16.1,3.2,21.4,3.22,44.19,3.54,2200.0,47729952.0,2.94,4.3,5.0,58594.0,4600000.0,30000000.0,1244.0,20544.0
UKRAINE,71.2,"603,550 sq km","4,350 sq km","579,330 sq km",45.3,37.3,1.1,2.33,58.72,3.4,10700.0,43306477.0,8.88,16.5,108.0,7769401.0,34596356.0,56000000.0,21733.0,169694.0
UNITED ARAB EMIRATES,4.6,"83,600 sq km",898 sq km,"83,600 sq km",35.7,3.4,19.5,0.58,19.7,3.92,69700.0,9973449.0,3.36,10.7,25.0,3245123.0,9400000.0,18000000.0,,4080.0
UNITED KINGDOM,71.0,"243,610 sq km",718 sq km,"241,930 sq km",40.6,3.2,,0.49,95.1,4.1,46200.0,68138484.0,4.5,13.2,271.0,27050000.0,65001016.0,80220000.0,16390.0,394428.0
UNITED STATES,44.5,"9,833,517 sq km","234,782 sq km","9,147,593 sq km",38.5,3.0,15.1,0.68,127.1,5.95,63700.0,339665118.0,3.9,9.6,5080.0,119870000.0,311870000.0,496800000.0,293564.0,6586610.0
URUGUAY,87.2,"176,215 sq km","2,380 sq km","175,015 sq km",36.2,0.9,8.8,0.27,60.4,4.37,22800.0,3416264.0,10.45,32.9,11.0,1063701.0,3060000.0,4700000.0,1673.0,77732.0
UZBEKISTAN,62.6,"447,400 sq km","37,320 sq km","425,400 sq km",28.7,0.9,14.1,1.61,24.3,7.42,7700.0,31360836.0,7.16,16.0,33.0,4820009.0,26180000.0,35000000.0,4642.0,86496.0
VANUATU,15.3,"12,189 sq km",0 sq km,"12,189 sq km",24.2,1.3,,1.59,48.4,0.45,2800.0,313046.0,2.18,5.4,3.0,2785.0,211200.0,250000.0,,1070.0
VENEZUELA,24.5,"912,050 sq km","10,550 sq km","882,050 sq km",30.8,13.6,33.1,2.4,38.9,-19.67,7704.0,30518260.0,6.41,14.9,127.0,2561556.0,22734162.0,17000000.0,447.0,96189.0
VIETNAM,34.8,"331,210 sq km","46,000 sq km","310,070 sq km",32.7,0.2,6.7,0.93,58.5,2.56,10600.0,104799174.0,2.17,7.2,38.0,16699249.0,71780000.0,140000000.0,2600.0,195468.0
VIRGIN ISLANDS,11.5,"1,910 sq km",1 sq km,346 sq km,42.7,7.3,28.9,0.49,53.3,-2.15,37000.0,104917.0,13.27,27.0,2.0,,67508.0,80000.0,,1260.0
WALLIS AND FUTUNA,42.8,142 sq km,0.6 sq km,142 sq km,35.8,3.8,,0.23,5.6,,3800.0,15929.0,8.8,,2.0,,5496.0,0.0,,
WEST BANK,43.3,"5,860 sq km",,"5,640 sq km",21.7,3.9,18.0,2.1,24.4,7.05,5600.0,3176549.0,24.9,39.6,2.0,373050.0,3938199.0,4052966.0,,4686.0
WORLD,,510.072 million sq km,"3,242,917 sq km",148.94 million sq km,31.0,,,1.03,67.2,5.87,17000.0,7979261010.0,6.18,17.9,,1.0,,8.0,1148186.0,
YEMEN,44.5,"527,968 sq km","6,800 sq km","527,968 sq km",21.6,0.2,48.6,1.83,74.5,-5.9,2500.0,31565602.0,13.57,25.5,17.0,391000.0,8229624.0,15000000.0,,71300.0
ZAMBIA,31.7,"752,618 sq km","1,560 sq km","743,398 sq km",18.2,0.2,54.4,2.86,103.7,4.6,3200.0,20216029.0,13.03,26.1,8.0,82317.0,3990000.0,20000000.0,3126.0,67671.0
ZIMBABWE,42.5,"390,757 sq km","1,740 sq km","386,847 sq km",21.0,2.9,38.3,1.99,82.3,8.47,2100.0,15418674.0,5.17,7.3,17.0,203461.0,5600000.0,14257590.0,3427.0,97267.0
