Country,Agricultural_Land,Area_Total,Irrigated_Land,Land_Area,Median_Age,Net_Migration_Rate,Population_Below_Poverty_Line_percent,Population_Growth_Rate,Public_Debt_percent_of_GDP,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,airports_paved_runways_count,broadband_fixed_subscriptions_total,internet_users_total,mobile_cellular_subscriptions_total,railways_km,roadways_km
BRITISH VIRGIN ISLANDS,46.7,151 sq km,,151 sq km,37.2,13.21,,1.87,,2.0,34200.0,39369.0,2.9,,2.0,6738.0,24087.0,35000.0,,200.0
BRUNEI,2.5,"5,765 sq km",10 sq km,"5,265 sq km",31.1,2.15,,1.43,2.8,-1.59,60100.0,484991.0,7.65,23.4,1.0,71078.0,441000.0,603486.0,,2976.0
BULGARIA,46.9,"110,879 sq km",987 sq km,"108,489 sq km",43.7,0.29,23.8,0.66,32.24,7.63,24400.0,6827736.0,5.42,14.2,57.0,2115053.0,5175000.0,7902756.0,4029.0,19512.0
BURKINA FASO,44.2,"274,200 sq km",550 sq km,"273,800 sq km",17.9,0.59,41.4,2.46,72.53,6.91,2200.0,22489126.0,4.76,7.7,2.0,13979.0,4840000.0,24678315.0,622.0,15304.0
BURMA,19.2,"676,578 sq km","17,140 sq km","653,508 sq km",29.2,1.36,24.8,0.75,33.6,-17.91,4000.0,57970293.0,2.17,6.4,36.0,688185.0,23760000.0,67930093.0,5031.0,157000.0
BURUNDI,73.3,"27,830 sq km",230 sq km,"25,680 sq km",17.7,6.84,64.6,3.59,51.7,1.8,700.0,13162952.0,1.79,3.4,1.0,4230.0,754000.0,7740494.0,,12322.0
CABO VERDE,18.6,"4,033 sq km",35 sq km,"4,033 sq km",26.8,0.57,35.0,1.19,125.8,6.95,6100.0,603901.0,15.42,34.3,9.0,24839.0,413000.0,590171.0,,1350.0
CAMBODIA,32.1,"181,035 sq km","3,540 sq km","176,515 sq km",26.4,2.67,16.5,1.04,30.4,3.03,4400.0,16891245.0,0.61,1.8,6.0,233732.0,10200000.0,19899790.0,642.0,47263.0
CAMEROON,20.6,"475,440 sq km",290 sq km,"472,710 sq km",18.5,0.3,37.5,2.73,36.9,3.65,3700.0,30135732.0,3.87,6.6,11.0,722579.0,12420000.0,22442414.0,987.0,77589.0
CANADA,6.8,"9,984,670 sq km","9,045 sq km","9,093,507 sq km",41.8,5.37,9.4,0.73,72.09,4.54,47900.0,38516736.0,7.51,14.0,523.0,15390000.0,33950632.0,35960000.0,49422.0,1042300.0
CAYMAN ISLANDS,11.2,264 sq km,,264 sq km,40.5,12.34,,1.79,,,,65483.0,,13.8,,,,,,
CENTRAL AFRICAN REPUBLIC,8.1,"622,984 sq km",10 sq km,"622,984 sq km",20.0,3.16,62.0,1.77,52.9,0.9,800.0,5552228.0,6.57,11.8,1.0,499.0,605000.0,1800000.0,,24000.0
CHAD,39.6,1.284 million sq km,300 sq km,"1,259,200 sq km",16.1,0.12,42.3,3.05,52.5,-1.2,1400.0,18523165.0,1.88,2.4,9.0,,3060000.0,10000000.0,,40000.0
CHILE,21.1,"756,102 sq km","11,100 sq km","743,812 sq km",35.5,0.32,8.6,0.63,23.6,11.67,25400.0,18549457.0,9.13,21.4,90.0,3763826.0,17100000.0,26571823.0,,77801.0
CHINA,54.7,"9,596,960 sq km","690,070 sq km","9,326,410 sq km",38.4,0.11,1.7,0.18,76.9,3.0,12500.0,1413142846.0,5.2,11.4,510.0,483550000.0,1010740000.0,1750460000.0,150000.0,4960600.0
CHRISTMAS ISLAND,0.0,135 sq km,,135 sq km,,,,1.11,,,,2205.0,,,1.0,,1139.0,,18.0,142.0
COCOS (KEELING) ISLANDS,0.0,14 sq km,,14 sq km,,,,,,1.0,,596.0,0.1,,1.0,,,,,22.0
COLOMBIA,37.5,"1,138,910 sq km","10,900 sq km","1,038,700 sq km",31.2,1.85,35.7,0.54,90.4,10.68,14600.0,49336454.0,14.34,26.4,121.0,7764772.0,37960000.0,75000000.0,2141.0,205379.0
COMOROS,84.4,"2,235 sq km",1.3 sq km,"2,235 sq km",20.9,2.22,42.4,1.34,32.4,2.11,3200.0,888378.0,9.45,21.7,4.0,1066.0,221400.0,853449.0,,880.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",,"2,344,858 sq km",110 sq km,"2,267,048 sq km",16.7,0.63,63.0,3.13,18.1,6.2,1100.0,111859928.0,5.43,10.1,26.0,31000.0,21102720.0,47000000.0,4007.0,152373.0
"CONGO, REPUBLIC OF THE",31.1,"342,000 sq km",20 sq km,"341,500 sq km",19.5,0.0,40.9,2.33,130.8,-2.2,3200.0,5677493.0,23.01,42.3,8.0,1000.0,1794390.0,5558658.0,510.0,23324.0
COOK ISLANDS,8.4,236 sq km,,236 sq km,38.3,26.2,,2.31,,10.5,15600.0,7939.0,13.1,,1.0,2700.0,11382.0,17000.0,,295.0
COSTA RICA,64.8,"322,463 sq km",730 sq km,"318,003 sq km",20.3,1.16,39.5,2.16,47.0,7.04,5300.0,29344847.0,3.47,5.7,7.0,260097.0,12150000.0,44561505.0,660.0,81996.0
CROATIA,23.7,"56,594 sq km",171 sq km,"55,974 sq km",43.9,0.26,18.3,0.47,104.89,13.07,31600.0,4169239.0,8.68,23.6,24.0,1030973.0,3321000.0,4402213.0,2617.0,26958.0
CUBA,60.3,"110,860 sq km","8,700 sq km","109,820 sq km",42.1,2.53,,0.19,47.7,1.25,12300.0,10985974.0,2.76,7.4,64.0,231654.0,7810000.0,7103296.0,8367.0,60000.0
CURACAO,10.0,444 sq km,,444 sq km,36.7,1.31,,0.3,33.2,4.23,20800.0,152849.0,13.0,42.2,1.0,55000.0,111956.0,170000.0,,550.0
CYPRUS,13.4,"9,251 sq km",268 sq km,"9,241 sq km",37.9,6.65,,1.0,,,,1308120.0,,11.8,,,,,,
CZECHIA,54.8,"78,867 sq km",220 sq km,"77,247 sq km",43.3,2.32,10.1,0.0,34.7,3.54,40700.0,10706242.0,2.89,7.6,41.0,3845426.0,9130000.0,13129905.0,9548.0,55744.0
DENMARK,63.4,"43,094 sq km","2,360 sq km","42,434 sq km",42.0,2.71,12.5,0.44,35.3,3.8,59700.0,5946984.0,4.8,10.1,28.0,2590282.0,5841000.0,7287875.0,2682.0,74558.0
DJIBOUTI,73.4,"23,200 sq km",10 sq km,"23,180 sq km",24.9,4.37,21.1,1.93,31.8,4.81,4900.0,976143.0,28.39,79.9,3.0,25053.0,759000.0,489339.0,97.0,2893.0
DOMINICA,34.7,751 sq km,,751 sq km,34.9,5.3,29.0,0.02,82.7,6.68,10900.0,74656.0,23.0,,2.0,16000.0,58320.0,62000.0,,1512.0
DOMINICAN REPUBLIC,51.5,"48,670 sq km","2,980 sq km","48,320 sq km",24.1,1.86,58.5,1.18,31.1,-1.8,2900.0,11470261.0,15.73,35.7,4.0,31000.0,4290000.0,7300000.0,,4102.0
ECUADOR,29.7,"283,561 sq km","10,000 sq km","276,841 sq km",28.8,0.0,25.0,1.1,45.4,4.24,10700.0,17483326.0,6.43,14.2,104.0,2371297.0,13680000.0,16789600.0,965.0,43950.0
EGYPT,3.6,"1,001,450 sq km","36,500 sq km","995,450 sq km",24.1,0.29,32.5,1.59,103.0,3.33,11600.0,109546720.0,9.33,24.3,11.0,9349469.0,79200000.0,103449427.0,5085.0,65050.0
EL SALVADOR,74.7,"21,041 sq km",274 sq km,"20,721 sq km",27.7,7.01,22.8,0.46,71.41,10.28,9100.0,6602370.0,5.94,13.7,5.0,586000.0,3969000.0,11071073.0,,9012.0
EQUATORIAL GUINEA,10.1,"28,051 sq km",,"28,051 sq km",20.3,13.01,44.0,3.36,37.4,-0.95,14600.0,1737695.0,9.24,18.3,6.0,1000.0,864000.0,650000.0,,2880.0
ERITREA,75.1,"117,600 sq km",210 sq km,"101,000 sq km",20.3,9.38,50.0,1.08,131.2,5.0,1600.0,6274796.0,8.05,14.6,4.0,5000.0,792000.0,1800000.0,306.0,16000.0
ESTONIA,22.2,"45,228 sq km",20 sq km,"42,388 sq km",43.7,2.73,21.7,0.74,23.77,8.01,38700.0,1202762.0,6.33,17.1,13.0,415610.0,1183000.0,1980838.0,1441.0,58412.0
ESWATINI,68.3,"17,364 sq km",500 sq km,"17,204 sq km",23.7,6.07,58.9,0.72,28.4,7.88,8900.0,1130043.0,25.76,50.9,2.0,12000.0,708000.0,1400000.0,301.0,3769.0
ETHIOPIA,36.3,"1,104,300 sq km","1,813 sq km","1,096,570 sq km",19.8,0.19,23.5,2.42,31.45,5.64,2300.0,116462712.0,3.69,5.7,17.0,212000.0,20400000.0,65000000.0,659.0,120171.0
EUROPEAN UNION,,"4,236,351 sq km","154,539.82 sq km",,44.0,2.85,9.8,0.1,86.8,5.39,44100.0,,7.05,19.5,1882.0,163772540.0,389063826.0,540557924.0,4894173.0,4894173.0
FALKLAND ISLANDS (ISLAS MALVINAS),92.4,"12,173 sq km",,"12,173 sq km",,,,0.01,0.0,25.5,70800.0,3662.0,1.0,,2.0,1000.0,3762.0,6000.0,,440.0
FAROE ISLANDS,2.1,"1,393 sq km",,"1,393 sq km",37.2,0.0,10.0,0.63,35.0,5.9,40000.0,52600.0,2.2,,1.0,18443.0,51728.0,59000.0,,960.0
FIJI,23.3,"18,274 sq km",40 sq km,"18,274 sq km",29.9,5.65,29.9,0.42,48.9,-5.11,10400.0,947760.0,5.24,18.1,4.0,23062.0,500000.0,990000.0,597.0,3440.0
FINLAND,7.5,"338,145 sq km",80 sq km,"303,815 sq km",42.8,2.25,12.2,0.22,61.3,2.1,49600.0,5614571.0,7.53,18.1,74.0,1846000.0,5115000.0,7000000.0,5918.0,454000.0
FRANCE,52.7,"643,801 sq km","14,236 sq km","640,427 sq km",46.3,4.2,13.6,0.12,123.0,6.8,45900.0,47222613.0,8.1,36.9,294.0,31520000.0,60421689.0,73830000.0,27860.0,1053215.0
FRENCH POLYNESIA,12.5,"4,167 sq km",10 sq km,"3,827 sq km",33.3,0.61,19.7,0.7,,1.02,18600.0,301488.0,14.39,38.9,45.0,64000.0,218100.0,322918.0,,2590.0
GABON,19.0,"267,667 sq km",40 sq km,"257,667 sq km",21.0,3.59,33.4,2.39,62.7,1.46,13800.0,2397368.0,22.26,38.4,14.0,44607.0,1656000.0,3144609.0,649.0,14300.0
"GAMBIA, THE",56.1,"11,300 sq km",50 sq km,"10,120 sq km",21.8,0.04,48.6,2.23,88.0,4.27,2100.0,2468569.0,11.21,15.5,1.0,5000.0,858000.0,27000000.0,,2977.0
GAZA STRIP,,360 sq km,,360 sq km,18.0,4.46,30.0,1.99,,7.05,5600.0,2098389.0,24.9,39.6,1.0,376911.0,3602452.0,4052966.0,,
GEORGIA,35.5,"69,700 sq km","4,330 sq km","69,700 sq km",38.6,0.06,19.5,0.01,65.88,10.47,15500.0,4936390.0,10.66,28.3,18.0,986809.0,2888000.0,5163558.0,1363.0,20295.0
GERMANY,48.0,"357,022 sq km","5,056 sq km","348,672 sq km",47.8,1.78,14.8,0.12,63.9,1.8,51200.0,84220184.0,3.0,7.0,318.0,37736000.0,79127551.0,107200000.0,39379.0,830000.0
GHANA,69.1,"238,533 sq km",360 sq km,"227,533 sq km",21.4,0.16,23.4,2.19,71.8,5.36,5400.0,33846114.0,4.7,9.6,7.0,78371.0,22440000.0,40454073.0,947.0,65725.0
