Country,Agricultural_Land,Arable_Land (%% of Total Agricultural Land),Area_Total,Exports_billion_USD,Imports_billion_USD,Irrigated_Land,Land_Area,Permanent_Crops (%% of Total Agricultural Land),Permanent_Pasture (%% of Total Agricultural Land),Population_Growth_Rate,Real_GDP_Growth_Rate_percent,Total_Population,Water_Area,electricity_access_percent,electricity_generating_capacity_kW,railways_km,roadways_km,waterways_km
MONTSERRAT,30.0,20.0,102 sq km,,,0 sq km,102 sq km,0.0,10.0,0.46,,5440.0,0 sq km,,,,,
MOROCCO,67.5,17.5,"716,550 sq km",47.08,60.05,"17,645 sq km","716,300 sq km",2.9,47.1,0.88,7.93,37067420.0,250 sq km,100.0,14187000.0,2067.0,57300.0,
MOZAMBIQUE,56.3,6.4,"799,380 sq km",6.4,10.39,"1,180 sq km","786,380 sq km",0.3,49.6,2.55,2.36,32513805.0,"13,000 sq km",31.0,2765000.0,4787.0,31083.0,460.0
NAMIBIA,47.2,1.0,"824,292 sq km",,,80 sq km,"823,290 sq km",0.0,46.2,1.83,,2727409.0,"1,002 sq km",,,,,
NAURU,20.0,0.0,21 sq km,187.0,94.2,0 sq km,21 sq km,20.0,0.0,0.42,1.5,9852.0,0 sq km,100.0,15000.0,,30.0,
NEPAL,28.8,15.1,"147,181 sq km",2.52,16.99,"13,320 sq km","143,351 sq km",1.2,12.5,0.74,4.25,30899443.0,"3,830 sq km",89.0,1392000.0,59.0,27990.0,
NETHERLANDS,55.1,29.8,"41,543 sq km",839.6,735.7,"2,969 sq km","33,893 sq km",1.1,24.2,0.36,4.86,17463930.0,"7,650 sq km",100.0,43409000.0,3055.0,139124.0,6237.0
NEW CALEDONIA,10.4,0.4,"18,575 sq km",1.92,2.26,100 sq km,"18,275 sq km",0.2,9.8,1.17,2.0,300682.0,300 sq km,100.0,1071000.0,,5622.0,
NEW ZEALAND,43.2,1.8,"268,838 sq km",,,"7,000 sq km","264,537 sq km",0.3,41.1,0.92,,5223100.0,"4,301 sq km",,,,,
NICARAGUA,42.2,12.5,"130,370 sq km",6.62,8.31,"1,990 sq km","119,990 sq km",2.5,27.2,0.91,10.34,6359689.0,"10,380 sq km",86.0,1837000.0,,23897.0,2220.0
NIGER,35.1,12.3,1.267 million sq km,1.34,3.54,"2,666 sq km","1,266,700 sq km",0.1,22.7,3.66,1.39,25396840.0,300 sq km,18.0,324000.0,,18949.0,300.0
NIGERIA,78.0,37.3,"923,768 sq km",50.86,66.11,"2,930 sq km","910,768 sq km",7.4,33.3,2.53,3.65,230842743.0,"13,000 sq km",59.0,11691000.0,3798.0,195000.0,8600.0
NIUE,19.1,3.8,260 sq km,5.68,43.8,0 sq km,260 sq km,11.5,3.8,0.03,6.2,2000.0,0 sq km,,3000.0,,234.0,
NORFOLK ISLAND,25.0,0.0,36 sq km,,,0 sq km,36 sq km,0.0,25.0,0.01,,1748.0,0 sq km,,,,80.0,
NORTH MACEDONIA,44.3,16.4,"25,713 sq km",9.16,11.35,844 sq km,"25,433 sq km",1.4,26.5,0.11,3.96,2133410.0,280 sq km,100.0,1928000.0,699.0,14182.0,
NORTHERN MARIANA ISLANDS,6.6,2.2,464 sq km,914.0,893.0,1 sq km,464 sq km,2.2,2.2,0.35,-11.14,51295.0,0 sq km,100.0,,,536.0,
NORWAY,2.7,2.2,"323,802 sq km",199.07,140.44,337 sq km,"304,282 sq km",0.0,0.5,0.79,3.3,5597924.0,"19,520 sq km",100.0,38360000.0,3848.0,94902.0,1577.0
OMAN,4.7,0.1,"309,500 sq km",46.32,36.5,"1,079 sq km","309,500 sq km",0.1,4.5,1.8,3.09,3833465.0,0 sq km,100.0,8601000.0,,60230.0,
PAKISTAN,35.2,27.6,"796,095 sq km",35.57,76.39,"193,400 sq km","770,875 sq km",1.1,6.5,1.91,6.49,247653551.0,"25,220 sq km",94.0,39925000.0,11881.0,264175.0,
PALAU,10.8,2.2,459 sq km,12.07,180.38,0 sq km,459 sq km,4.3,4.3,0.39,-13.33,21779.0,0 sq km,100.0,,,125.0,
PANAMA,30.5,7.3,"75,420 sq km",27.24,24.63,407 sq km,"74,340 sq km",2.5,20.7,1.51,15.34,4404108.0,"1,080 sq km",95.0,4106000.0,77.0,,800.0
PAPUA NEW GUINEA,2.6,0.7,"462,840 sq km",11.0,4.25,0 sq km,"452,860 sq km",1.5,0.4,2.31,0.3,9819350.0,"9,980 sq km",20.0,1139000.0,,9349.0,11000.0
PARAGUAY,53.8,10.8,"406,752 sq km",14.15,13.45,"1,362 sq km","397,302 sq km",0.2,42.8,1.12,4.1,7439863.0,"9,450 sq km",100.0,8831000.0,30.0,78811.0,3100.0
PERU,18.8,3.1,"1,285,216 sq km",66.1,58.61,"25,800 sq km","1,279,996 sq km",1.1,14.6,0.5,13.35,32440172.0,"5,220 sq km",95.0,15340000.0,,18699.0,8808.0
PHILIPPINES,41.0,18.2,"300,000 sq km",87.79,126.51,"16,270 sq km","298,170 sq km",17.8,5.0,1.58,5.7,109035343.0,"1,830 sq km",97.0,27885000.0,,,
PITCAIRN ISLANDS,0.0,,47 sq km,,,0 sq km,47 sq km,,,0.0,,50.0,0 sq km,,,,,
POLAND,48.2,36.2,"312,685 sq km",411.62,380.7,760 sq km,"304,255 sq km",1.3,10.7,0.28,6.85,37991766.0,"8,430 sq km",100.0,47269000.0,19461.0,420000.0,3997.0
PORTUGAL,39.7,11.9,"92,090 sq km",105.65,112.41,"5,662 sq km","91,470 sq km",7.8,20.0,0.17,5.48,10223150.0,620 sq km,100.0,22364000.0,2526.0,82900.0,210.0
PUERTO RICO,22.0,6.6,"9,104 sq km",73.17,49.01,220 sq km,"8,959 sq km",5.6,9.8,1.29,0.21,3057311.0,145 sq km,100.0,6180000.0,,26862.0,
QATAR,5.6,1.1,"11,586 sq km",105.55,61.2,130 sq km,"11,586 sq km",0.2,4.3,0.86,1.59,2532104.0,0 sq km,100.0,10633000.0,,7039.0,
ROMANIA,60.7,39.1,"238,391 sq km",115.88,132.06,"4,730 sq km","229,891 sq km",1.9,19.7,1.01,5.1,18326327.0,"8,500 sq km",100.0,20528000.0,10628.0,84185.0,1731.0
RUSSIA,13.1,7.3,"17,098,242 sq km",550.03,379.95,"43,000 sq km","16,377,742 sq km",0.1,5.7,0.24,4.75,141698923.0,"720,500 sq km",100.0,255000000.0,85494.0,1283387.0,102000.0
RWANDA,74.5,47.0,"26,338 sq km",2.11,3.86,96 sq km,"24,668 sq km",10.1,17.4,1.68,10.88,13400541.0,"1,670 sq km",48.0,265000.0,,4700.0,90.0
SAINT BARTHELEMY,,,25 sq km,,,,25 sq km,,,0.11,,7093.0,negligible,100.0,,,40.0,
"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",30.8,10.3,394 sq km,19.0,20.53,0 sq km,122 sq km,0.0,20.5,0.11,,7935.0,0 sq km,100.0,8000.0,,198.0,
SAINT KITTS AND NEVIS,23.1,19.2,261 sq km,408.47,441.19,8 sq km,261 sq km,0.4,3.5,0.59,-0.88,54817.0,0 sq km,100.0,71000.0,50.0,383.0,
SAINT LUCIA,17.4,4.9,616 sq km,890.72,846.48,30 sq km,606 sq km,11.5,1.0,0.27,12.23,167591.0,10 sq km,100.0,92000.0,,1210.0,
SAINT MARTIN,,,50 sq km,,,,50 sq km,,,0.31,,32897.0,negligible,100.0,,,,
SAINT PIERRE AND MIQUELON,8.7,8.7,242 sq km,6.64,95.35,0 sq km,242 sq km,0.0,0.0,1.19,,5195.0,0 sq km,,26000.0,,117.0,
SAINT VINCENT AND THE GRENADINES,25.6,12.8,389 sq km,125.78,415.73,10 sq km,389 sq km,7.7,5.1,0.16,1.35,100804.0,0 sq km,100.0,49000.0,,,
SAMOA,12.4,2.8,"2,831 sq km",97.77,430.01,0 sq km,"2,821 sq km",7.8,1.8,0.65,-7.08,207501.0,10 sq km,98.0,50000.0,,1150.0,
SAN MARINO,16.7,16.7,61 sq km,3.83,2.55,0 sq km,61 sq km,0.0,0.0,0.59,-6.65,34892.0,0 sq km,100.0,,,292.0,
SAO TOME AND PRINCIPE,50.7,9.1,964 sq km,75.26,201.15,100 sq km,964 sq km,40.6,1.0,1.45,1.88,220372.0,0 sq km,78.0,28000.0,,1300.0,
SAUDI ARABIA,80.7,1.5,"2,149,690 sq km",286.5,213.02,"11,910 sq km","2,149,690 sq km",0.1,79.1,1.65,3.24,35939806.0,0 sq km,100.0,76785000.0,5410.0,221372.0,
SENEGAL,46.8,17.4,"196,722 sq km",10.27,5.35,"1,200 sq km","192,530 sq km",0.3,29.1,2.52,3.9,18384660.0,"4,192 sq km",46.0,992000.0,1086.0,44301.0,1300.0
SERBIA,57.9,37.7,"77,474 sq km",33.73,39.04,520 sq km,"77,474 sq km",3.4,16.8,0.63,7.55,6693375.0,0 sq km,100.0,8986000.0,3333.0,44248.0,587.0
SEYCHELLES,6.5,2.2,455 sq km,1.75,1.82,3 sq km,455 sq km,4.3,0.0,0.6,7.86,97617.0,0 sq km,100.0,157000.0,,526.0,
SIERRA LEONE,56.2,23.4,"71,740 sq km",700.97,1.42,300 sq km,"71,620 sq km",2.3,30.5,2.41,4.1,8908040.0,120 sq km,27.0,180000.0,,11701.0,800.0
SINGAPORE,1.0,0.9,719 sq km,733.78,609.28,0 sq km,709.2 sq km,0.1,0.0,0.9,7.61,5975383.0,10 sq km,100.0,12240000.0,,3500.0,
SINT MAARTEN,,,34 sq km,787.98,992.66,,34 sq km,,,1.19,-6.6,45677.0,0 sq km,100.0,,,53.0,
SLOVAKIA,40.1,28.9,"49,035 sq km",107.43,107.36,211 sq km,"48,105 sq km",0.4,10.8,0.13,3.01,5425319.0,930 sq km,100.0,7868000.0,3627.0,56926.0,172.0
SLOVENIA,22.8,8.4,"20,273 sq km",51.63,47.66,39 sq km,"20,151 sq km",1.3,13.1,0.08,8.21,2099790.0,122 sq km,100.0,4062000.0,1207.0,38985.0,710.0
SOLOMON ISLANDS,3.9,0.7,"28,896 sq km",413.66,619.46,0 sq km,"27,986 sq km",2.9,0.3,1.69,-0.2,714766.0,910 sq km,76.0,40000.0,,1390.0,
SOMALIA,70.3,1.8,"637,657 sq km",819.0,94.43,"2,000 sq km","627,337 sq km",0.0,68.5,2.49,4.05,12693796.0,"10,320 sq km",49.0,91000.0,,15000.0,
SOUTH AFRICA,79.4,9.9,"1,219,090 sq km",130.88,104.81,"16,700 sq km","1,214,470 sq km",0.3,69.2,1.08,4.91,58048332.0,"4,620 sq km",89.0,62728000.0,20986.0,750000.0,
SOUTH SUDAN,45.0,4.4,"644,329 sq km",4.65,4.04,"1,000 sq km",,,40.7,4.78,-5.2,12118379.0,,7.0,121000.0,248.0,90200.0,
SPAIN,54.1,24.9,"505,370 sq km",11.9,15.3,"38,000 sq km","498,980 sq km",9.1,20.1,0.12,7.4,47222613.0,"6,390 sq km",100.0,5000.0,15489.0,683175.0,1000.0
SRI LANKA,43.5,20.7,"65,610 sq km",13.08,18.27,"5,700 sq km","64,630 sq km",15.8,7.0,0.56,3.33,23326272.0,980 sq km,100.0,4527000.0,1562.0,114093.0,160.0
SUDAN,100.0,15.7,"1,861,484 sq km",5.92,9.79,"15,666 sq km","1,731,671 sq km",0.2,84.2,2.55,-1.87,49197555.0,"129,813 sq km",61.0,4354000.0,7251.0,31000.0,4068.0
SURINAME,0.5,0.4,"163,820 sq km",2.3,1.88,600 sq km,"156,000 sq km",0.0,0.1,1.11,-2.73,639759.0,"7,820 sq km",98.0,542000.0,,4304.0,1200.0
SVALBARD,0.0,,"62,045 sq km",,,,"62,045 sq km",,,0.03,,2926.0,0 sq km,,,,40.0,
SWEDEN,7.5,6.4,"450,295 sq km",290.79,263.27,519 sq km,"410,335 sq km",0.0,1.1,0.51,2.6,10536338.0,"39,960 sq km",100.0,43499000.0,10910.0,573134.0,2052.0
SWITZERLAND,38.7,10.2,"41,277 sq km",,,327 sq km,"39,997 sq km",0.6,27.9,0.78,,8563760.0,"1,280 sq km",,,,,
SYRIA,75.8,25.4,"187,437 sq km",1.85,6.28,"13,100 sq km","185,887 sq km",5.8,44.6,6.39,-3.87,22933531.0,"1,550 sq km",88.0,10082000.0,2052.0,69873.0,900.0
TAIWAN,22.7,16.9,"35,980 sq km",388.49,308.74,"3,820 sq km","32,260 sq km",5.8,,0.03,2.71,23588613.0,"3,720 sq km",,57738000.0,,43206.0,
TAJIKISTAN,34.7,6.1,"144,100 sq km",2.16,4.26,"5,690 sq km","141,510 sq km",0.9,27.7,1.94,9.2,9245937.0,"2,590 sq km",99.0,7114000.0,680.0,30000.0,200.0
TANZANIA,43.7,14.3,"947,300 sq km",8.55,9.18,"1,840 sq km","885,800 sq km",2.3,27.1,2.75,4.28,65642682.0,"61,500 sq km",42.0,1623000.0,4097.0,145203.0,1594.0
THAILAND,41.2,30.8,"513,120 sq km",296.0,295.78,"64,150 sq km","510,890 sq km",8.8,1.6,0.2,1.53,69794997.0,"2,230 sq km",100.0,53130000.0,4127.0,180053.0,4000.0
TIMOR-LESTE,25.1,10.1,"14,874 sq km",2.31,1.52,350 sq km,"14,874 sq km",4.9,10.1,2.1,5.29,1476042.0,0 sq km,100.0,284000.0,,6040.0,
TOGO,67.4,45.2,"56,785 sq km",1.72,2.39,70 sq km,"54,385 sq km",3.8,18.4,2.45,5.26,8703961.0,"2,400 sq km",55.0,210000.0,568.0,9951.0,50.0
TOKELAU,60.0,0.0,12 sq km,103000.0,15792720.0,0 sq km,12 sq km,60.0,0.0,0.01,,1647.0,0 sq km,,,,10.0,
TONGA,43.1,22.2,747 sq km,58.74,285.68,0 sq km,717 sq km,15.3,5.6,0.3,-2.67,105221.0,30 sq km,100.0,26000.0,,680.0,
TRINIDAD AND TOBAGO,10.6,4.9,"5,128 sq km",11.47,8.59,70 sq km,"5,128 sq km",4.3,1.4,0.12,-1.03,1407460.0,0 sq km,100.0,2123000.0,,,
TUNISIA,64.8,18.3,"163,610 sq km",19.74,24.27,"3,920 sq km","155,360 sq km",15.4,31.1,0.63,4.32,11976182.0,"8,250 sq km",99.0,5777000.0,2173.0,,
TURKEY (TURKIYE),49.7,26.7,"783,562 sq km",282.85,285.58,"52,150 sq km","769,632 sq km",4.0,19.0,0.64,11.35,83593483.0,"13,930 sq km",100.0,96846000.0,11497.0,67333.0,1200.0
TURKMENISTAN,72.0,4.1,"488,100 sq km",7.46,4.57,"19,950 sq km","469,930 sq km",0.1,67.8,0.95,6.3,5690818.0,"18,170 sq km",100.0,5205000.0,5113.0,58592.0,1300.0
TURKS AND CAICOS ISLANDS,1.1,1.1,948 sq km,827.0,544.22,0 sq km,948 sq km,0.0,0.0,1.81,2.1,59367.0,0 sq km,100.0,85000.0,,121.0,
TUVALU,60.0,0.0,26 sq km,2.7,51.19,0 sq km,26 sq km,60.0,0.0,0.81,2.99,11639.0,0 sq km,99.0,,,8.0,
UGANDA,71.2,34.3,"241,038 sq km",6.18,10.71,105 sq km,"197,100 sq km",11.3,25.6,3.22,3.54,47729952.0,"43,938 sq km",45.0,2397000.0,1244.0,20544.0,907.0
UKRAINE,71.2,56.1,"603,550 sq km",81.5,84.17,"4,350 sq km","579,330 sq km",1.5,13.6,2.33,3.4,43306477.0,"24,220 sq km",100.0,56816000.0,21733.0,169694.0,1672.0
UNITED ARAB EMIRATES,4.6,0.5,"83,600 sq km",335.24,246.89,898 sq km,"83,600 sq km",0.5,3.6,0.58,3.92,9973449.0,0 sq km,100.0,35173000.0,,4080.0,
UNITED KINGDOM,71.0,25.1,"243,610 sq km",468.2,580.7,718 sq km,"241,930 sq km",0.2,45.7,0.49,4.1,68138484.0,"1,680 sq km",100.0,113153000.0,16390.0,394428.0,3200.0
UNITED STATES,44.5,16.8,"9,833,517 sq km",1645.0,2407.0,"234,782 sq km","9,147,593 sq km",0.3,27.4,0.68,5.95,339665118.0,"685,924 sq km",100.0,1147000000.0,293564.0,6586610.0,41009.0
URUGUAY,87.2,10.1,"176,215 sq km",18.82,15.05,"2,380 sq km","175,015 sq km",0.2,76.9,0.27,4.37,3416264.0,"1,200 sq km",100.0,5348000.0,1673.0,77732.0,1600.0
UZBEKISTAN,62.6,10.1,"447,400 sq km",16.4,27.77,"37,320 sq km","425,400 sq km",0.8,51.7,1.61,7.42,31360836.0,"22,000 sq km",99.0,16042000.0,4642.0,86496.0,1100.0
VANUATU,15.3,1.6,"12,189 sq km",88.81,495.86,0 sq km,"12,189 sq km",10.3,3.4,1.59,0.45,313046.0,0 sq km,70.0,35000.0,,1070.0,
VENEZUELA,24.5,3.1,"912,050 sq km",83.4,18.43,"10,550 sq km","882,050 sq km",0.8,20.6,2.4,-19.67,30518260.0,"30,000 sq km",99.0,32956000.0,447.0,96189.0,7100.0
VIETNAM,34.8,20.6,"331,210 sq km",339.98,338.02,"46,000 sq km","310,070 sq km",12.1,2.1,0.93,2.56,104799174.0,"21,140 sq km",100.0,65283000.0,2600.0,195468.0,47130.0
VIRGIN ISLANDS,11.5,2.9,"1,910 sq km",1.81,2.49,1 sq km,346 sq km,2.9,5.7,0.49,-2.15,104917.0,"1,564 sq km",100.0,321000.0,,1260.0,
WALLIS AND FUTUNA,42.8,7.1,142 sq km,47450.0,61.17,0.6 sq km,142 sq km,35.7,0.0,0.23,,15929.0,0 sq km,,,,,
WEST BANK,43.3,7.4,"5,860 sq km",3.18,10.24,,"5,640 sq km",11.0,24.9,2.1,7.05,3176549.0,220 sq km,100.0,215000.0,,4686.0,
WORLD,,,510.072 million sq km,28108.0,27120162000000.0,"3,242,917 sq km",148.94 million sq km,,,1.03,5.87,7979261010.0,"361,899,999 sq km",91.0,,1148186.0,,2293412.0
YEMEN,44.5,2.2,"527,968 sq km",384.5,4.08,"6,800 sq km","527,968 sq km",0.6,41.7,1.83,-5.9,31565602.0,0 sq km,74.0,1772000.0,,71300.0,
ZAMBIA,31.7,4.8,"752,618 sq km",11.72,7.7,"1,560 sq km","743,398 sq km",0.0,26.9,2.86,4.6,20216029.0,"9,220 sq km",46.0,3065000.0,3126.0,67671.0,2250.0
ZIMBABWE,42.5,10.9,"390,757 sq km",5.26,5.49,"1,740 sq km","386,847 sq km",0.3,31.3,1.99,8.47,15418674.0,"3,910 sq km",48.0,2473000.0,3427.0,97267.0,223.0
