Country,Agricultural_Land,Arable_Land (%% of Total Agricultural Land),Area_Total,Exports_billion_USD,Imports_billion_USD,Irrigated_Land,Land_Area,Permanent_Crops (%% of Total Agricultural Land),Permanent_Pasture (%% of Total Agricultural Land),Population_Growth_Rate,Real_GDP_Growth_Rate_percent,Total_Population,Water_Area,electricity_access_percent,electricity_generating_capacity_kW,railways_km,roadways_km,waterways_km
BULGARIA,46.9,29.9,"110,879 sq km",51.51,50.06,987 sq km,"108,489 sq km",1.5,15.5,0.66,7.63,6827736.0,"2,390 sq km",99.0,11097000.0,4029.0,19512.0,470.0
BURKINA FASO,44.2,22.0,"274,200 sq km",5.36,4.78,550 sq km,"273,800 sq km",37.0,21.93,2.46,6.91,22489126.0,400 sq km,18.0,392000.0,622.0,15304.0,
BURMA,19.2,16.5,"676,578 sq km",20.4,23.1,"17,140 sq km","653,508 sq km",2.2,0.5,0.75,-17.91,57970293.0,"23,070 sq km",72.0,7247000.0,5031.0,157000.0,12800.0
BURUNDI,73.3,38.9,"27,830 sq km",285.11,905.29,230 sq km,"25,680 sq km",15.6,18.8,3.59,1.8,13162952.0,"2,150 sq km",10.0,100000.0,,12322.0,673.0
CABO VERDE,18.6,11.7,"4,033 sq km",459.92,1.12,35 sq km,"4,033 sq km",0.7,6.2,1.19,6.95,603901.0,0 sq km,95.0,205000.0,,1350.0,
CAMBODIA,32.1,22.7,"181,035 sq km",20.13,32.83,"3,540 sq km","176,515 sq km",0.9,8.5,1.04,3.03,16891245.0,"4,520 sq km",82.0,2954000.0,642.0,47263.0,3700.0
CAMEROON,20.6,13.1,"475,440 sq km",7.45,9.03,290 sq km,"472,710 sq km",3.3,4.2,2.73,3.65,30135732.0,"2,730 sq km",65.0,1754000.0,987.0,77589.0,
CANADA,6.8,4.7,"9,984,670 sq km",611.15,609.26,"9,045 sq km","9,093,507 sq km",0.5,1.6,0.73,4.54,38516736.0,"891,163 sq km",100.0,153251000.0,49422.0,1042300.0,636.0
CAYMAN ISLANDS,11.2,0.8,264 sq km,,,,264 sq km,2.1,8.3,1.79,,65483.0,0 sq km,,,,,
CENTRAL AFRICAN REPUBLIC,8.1,2.9,"622,984 sq km",113.7,393.1,10 sq km,"622,984 sq km",0.1,5.1,1.77,0.9,5552228.0,0 sq km,15.0,38000.0,,24000.0,2800.0
CHAD,39.6,3.9,1.284 million sq km,2.46,2.16,300 sq km,"1,259,200 sq km",0.0,35.7,3.05,-1.2,18523165.0,"24,800 sq km",11.0,87000.0,,40000.0,12400.0
CHILE,21.1,1.7,"756,102 sq km",100.63,102.09,"11,100 sq km","743,812 sq km",0.6,18.8,0.63,11.67,18549457.0,"12,290 sq km",100.0,29808000.0,,77801.0,
CHINA,54.7,11.3,"9,596,960 sq km",3593.0,2714.0,"690,070 sq km","9,326,410 sq km",1.6,41.8,0.18,3.0,1413142846.0,"270,550 sq km",100.0,2380000000.0,150000.0,4960600.0,110000.0
CHRISTMAS ISLAND,0.0,,135 sq km,,,,135 sq km,,,1.11,,2205.0,0 sq km,,,18.0,142.0,
COCOS (KEELING) ISLANDS,0.0,,14 sq km,,,,14 sq km,,,,1.0,596.0,0 sq km,,,,22.0,
COLOMBIA,37.5,1.4,"1,138,910 sq km",50.79,70.84,"10,900 sq km","1,038,700 sq km",1.6,34.5,0.54,10.68,49336454.0,"100,210 sq km",99.0,19769000.0,2141.0,205379.0,24725.0
COMOROS,84.4,46.7,"2,235 sq km",139.57,407.0,1.3 sq km,"2,235 sq km",29.6,8.1,1.34,2.11,888378.0,0 sq km,87.0,35000.0,,880.0,
"CONGO, DEMOCRATIC REPUBLIC OF THE",,,"2,344,858 sq km",22.35,22.19,110 sq km,"2,267,048 sq km",,,3.13,6.2,111859928.0,"77,810 sq km",20.0,2919000.0,4007.0,152373.0,15000.0
"CONGO, REPUBLIC OF THE",31.1,1.6,"342,000 sq km",4.67,3.28,20 sq km,"341,500 sq km",0.2,29.3,2.33,-2.2,5677493.0,500 sq km,49.0,629000.0,510.0,23324.0,1120.0
COOK ISLANDS,8.4,4.2,236 sq km,31.4,215.0,,236 sq km,4.2,0.0,2.31,10.5,7939.0,0 sq km,,18000.0,,295.0,
COSTA RICA,64.8,9.1,"322,463 sq km",13.23,12.66,730 sq km,"318,003 sq km",14.2,41.5,2.16,7.04,29344847.0,"4,460 sq km",71.0,2197000.0,660.0,81996.0,980.0
CROATIA,23.7,16.0,"56,594 sq km",35.31,36.33,171 sq km,"55,974 sq km",1.5,6.2,0.47,13.07,4169239.0,620 sq km,100.0,4940000.0,2617.0,26958.0,4714.0
CUBA,60.3,33.8,"110,860 sq km",2.63,11.06,"8,700 sq km","109,820 sq km",3.6,22.9,0.19,1.25,10985974.0,"1,040 sq km",100.0,7479000.0,8367.0,60000.0,240.0
CURACAO,10.0,10.0,444 sq km,1.28,1.92,,444 sq km,,,0.3,4.23,152849.0,0 sq km,100.0,,,550.0,
CYPRUS,13.4,9.8,"9,251 sq km",,,268 sq km,"9,241 sq km",3.2,0.4,1.0,,1308120.0,10 sq km,,,,,
CZECHIA,54.8,41.0,"78,867 sq km",204.78,196.24,220 sq km,"77,247 sq km",1.0,12.8,0.0,3.54,10706242.0,"1,620 sq km",100.0,22485000.0,9548.0,55744.0,664.0
DENMARK,63.4,58.9,"43,094 sq km",234.26,208.12,"2,360 sq km","42,434 sq km",0.1,4.4,0.44,3.8,5946984.0,660 sq km,100.0,17655000.0,2682.0,74558.0,400.0
DJIBOUTI,73.4,0.1,"23,200 sq km",5.16,5.48,10 sq km,"23,180 sq km",0.0,73.3,1.93,4.81,976143.0,20 sq km,65.0,130000.0,97.0,2893.0,
DOMINICA,34.7,8.0,751 sq km,104.96,302.0,,751 sq km,24.0,2.7,0.02,6.68,74656.0,NEGL,100.0,42000.0,,1512.0,
DOMINICAN REPUBLIC,51.5,16.6,"48,670 sq km",1.24,5.22,"2,980 sq km","48,320 sq km",10.1,24.8,1.18,-1.8,11470261.0,350 sq km,47.0,3453000.0,,4102.0,
ECUADOR,29.7,4.7,"283,561 sq km",29.32,28.57,"10,000 sq km","276,841 sq km",5.6,19.4,1.1,4.24,17483326.0,"6,720 sq km",100.0,9354000.0,965.0,43950.0,1500.0
EGYPT,3.6,2.8,"1,001,450 sq km",58.34,94.04,"36,500 sq km","995,450 sq km",0.8,0.0,1.59,3.33,109546720.0,"6,000 sq km",100.0,59826000.0,5085.0,65050.0,3500.0
EL SALVADOR,74.7,33.1,"21,041 sq km",8.49,15.75,274 sq km,"20,721 sq km",10.9,30.7,0.46,10.28,6602370.0,320 sq km,97.0,2586000.0,,9012.0,422.0
EQUATORIAL GUINEA,10.1,4.3,"28,051 sq km",8.78,6.25,,"28,051 sq km",2.1,3.7,3.36,-0.95,1737695.0,0 sq km,66.0,349000.0,,2880.0,
ERITREA,75.1,6.8,"117,600 sq km",624.3,1.13,210 sq km,"101,000 sq km",0.0,68.3,1.08,5.0,6274796.0,"16,600 sq km",52.0,228000.0,306.0,16000.0,
ESTONIA,22.2,14.9,"45,228 sq km",29.06,29.23,20 sq km,"42,388 sq km",0.1,7.2,0.74,8.01,1202762.0,"2,840 sq km",100.0,3030000.0,1441.0,58412.0,335.0
ESWATINI,68.3,9.8,"17,364 sq km",2.13,2.17,500 sq km,"17,204 sq km",0.8,57.7,0.72,7.88,1130043.0,160 sq km,82.0,286000.0,301.0,3769.0,
ETHIOPIA,36.3,15.2,"1,104,300 sq km",9.5,20.86,"1,813 sq km","1,096,570 sq km",1.1,20.0,2.42,5.64,116462712.0,"7,730 sq km",54.0,4856000.0,659.0,120171.0,
EUROPEAN UNION,,,"4,236,351 sq km",8705.0,8037.0,"154,539.82 sq km",,,,0.1,5.39,,,99.0,,4894173.0,4894173.0,42000.0
FALKLAND ISLANDS (ISLAS MALVINAS),92.4,,"12,173 sq km",257.3,90.0,,"12,173 sq km",,92.4,0.01,25.5,3662.0,0 sq km,,11000.0,,440.0,
FAROE ISLANDS,2.1,2.1,"1,393 sq km",1.18,978.4,,"1,393 sq km",0.0,0.0,0.63,5.9,52600.0,0 sq km,100.0,128000.0,,960.0,
FIJI,23.3,9.0,"18,274 sq km",1.17,2.34,40 sq km,"18,274 sq km",4.7,9.6,0.42,-5.11,947760.0,0 sq km,92.0,393000.0,597.0,3440.0,203.0
FINLAND,7.5,7.4,"338,145 sq km",116.91,116.28,80 sq km,"303,815 sq km",0.0,0.1,0.22,2.1,5614571.0,"34,330 sq km",100.0,20418000.0,5918.0,454000.0,8000.0
FRANCE,52.7,33.4,"643,801 sq km",569.1,571.4,"14,236 sq km","640,427 sq km",1.8,17.5,0.12,6.8,47222613.0,"3,374 sq km",100.0,138611000.0,27860.0,1053215.0,
FRENCH POLYNESIA,12.5,0.7,"4,167 sq km",162.0,1.66,10 sq km,"3,827 sq km",6.3,5.5,0.7,1.02,301488.0,340 sq km,100.0,272000.0,,2590.0,
GABON,19.0,1.2,"267,667 sq km",10.8,5.02,40 sq km,"257,667 sq km",0.6,17.2,2.39,1.46,2397368.0,"10,000 sq km",91.0,784000.0,649.0,14300.0,1600.0
"GAMBIA, THE",56.1,41.0,"11,300 sq km",135.45,726.0,50 sq km,"10,120 sq km",0.5,14.6,2.23,4.27,2468569.0,"1,180 sq km",63.0,137000.0,,2977.0,390.0
GAZA STRIP,,,360 sq km,3.18,10.24,,360 sq km,,,1.99,7.05,2098389.0,0 sq km,100.0,215000.0,,,
GEORGIA,35.5,5.8,"69,700 sq km",8.09,11.15,"4,330 sq km","69,700 sq km",1.8,27.9,0.01,10.47,4936390.0,0 sq km,100.0,4579000.0,1363.0,20295.0,
GERMANY,48.0,34.1,"357,022 sq km",1813.0,1665.0,"5,056 sq km","348,672 sq km",0.6,13.3,0.12,1.8,84220184.0,"8,350 sq km",100.0,218000000.0,39379.0,830000.0,7300.0
GHANA,69.1,20.7,"238,533 sq km",23.9,25.97,360 sq km,"227,533 sq km",11.9,36.5,2.19,5.36,33846114.0,"11,000 sq km",86.0,5312000.0,947.0,65725.0,1293.0
GIBRALTAR,0.0,,7 sq km,202.3,2.97,,6.5 sq km,,,0.19,,29629.0,0 sq km,100.0,43000.0,,29.0,
GREECE,63.4,19.7,"131,957 sq km",87.52,103.53,"11,853 sq km","130,647 sq km",8.9,34.8,0.35,8.43,10497595.0,"1,310 sq km",100.0,21545000.0,2345.0,117000.0,6.0
GREENLAND,0.6,0.0,"2,166,086 sq km",407.1,783.5,,"2,166,086 sq km",0.0,0.6,0.04,0.36,57777.0,,100.0,187000.0,,,
GRENADA,32.3,8.8,344 sq km,393.77,650.0,20 sq km,344 sq km,20.6,2.9,0.29,4.69,114299.0,0 sq km,93.0,55000.0,,1127.0,
GUAM,33.4,1.9,544 sq km,1.12,2.96,2 sq km,544 sq km,16.7,14.8,0.13,1.06,169330.0,0 sq km,100.0,455000.0,,1045.0,
