Country,Exchange_Rate_per_USD,Median_Age,Population_Below_Poverty_Line_percent,Population_Growth_Rate,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Literacy_Rate,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,broadband_fixed_subscriptions_total,electricity_access_percent,internet_users_total,mobile_cellular_subscriptions_total,roadways_km
CHAD,554.531,16.1,42.3,3.05,-1.2,1400.0,26.8,18523165.0,1.88,2.4,,11.0,3060000.0,10000000.0,40000.0
CHILE,758.955,35.5,8.6,0.63,11.67,25400.0,97.0,18549457.0,9.13,21.4,3763826.0,100.0,17100000.0,26571823.0,77801.0
CHINA,6.73,38.4,1.7,0.18,3.0,12500.0,96.8,1413142846.0,5.2,11.4,483550000.0,100.0,1010740000.0,1750460000.0,4960600.0
CHRISTMAS ISLAND,1.311,,,1.11,,,,2205.0,,,,,1139.0,,142.0
COCOS (KEELING) ISLANDS,1.311,,,,1.0,,,596.0,0.1,,,,,,22.0
COLOMBIA,3.0,31.2,35.7,0.54,10.68,14600.0,95.6,49336454.0,14.34,26.4,7764772.0,99.0,37960000.0,75000000.0,205379.0
COMOROS,415.956,20.9,42.4,1.34,2.11,3200.0,62.0,888378.0,9.45,21.7,1066.0,87.0,221400.0,853449.0,880.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",1.0,16.7,63.0,3.13,6.2,1100.0,80.0,111859928.0,5.43,10.1,31000.0,20.0,21102720.0,47000000.0,152373.0
"CONGO, REPUBLIC OF THE",554.531,19.5,40.9,2.33,-2.2,3200.0,80.6,5677493.0,23.01,42.3,1000.0,49.0,1794390.0,5558658.0,23324.0
COOK ISLANDS,1.416,38.3,,2.31,10.5,15600.0,,7939.0,13.1,,2700.0,,11382.0,17000.0,295.0
COSTA RICA,554.531,20.3,39.5,2.16,7.04,5300.0,89.9,29344847.0,3.47,5.7,260097.0,71.0,12150000.0,44561505.0,81996.0
CROATIA,0.845,43.9,18.3,0.47,13.07,31600.0,99.4,4169239.0,8.68,23.6,1030973.0,100.0,3321000.0,4402213.0,26958.0
CUBA,1.0,42.1,,0.19,1.25,12300.0,99.7,10985974.0,2.76,7.4,231654.0,100.0,7810000.0,7103296.0,60000.0
CURACAO,1.79,36.7,,0.3,4.23,20800.0,,152849.0,13.0,42.2,55000.0,100.0,111956.0,170000.0,550.0
CYPRUS,,37.9,,1.0,,,99.4,1308120.0,,11.8,,,,,
CZECHIA,21.678,43.3,10.1,0.0,3.54,40700.0,99.0,10706242.0,2.89,7.6,3845426.0,100.0,9130000.0,13129905.0,55744.0
DENMARK,6.287,42.0,12.5,0.44,3.8,59700.0,,5946984.0,4.8,10.1,2590282.0,100.0,5841000.0,7287875.0,74558.0
DJIBOUTI,177.721,24.9,21.1,1.93,4.81,4900.0,,976143.0,28.39,79.9,25053.0,65.0,759000.0,489339.0,2893.0
