Country,Exchange_Rate_per_USD,Median_Age,Population_Below_Poverty_Line_percent,Population_Growth_Rate,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Literacy_Rate,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,broadband_fixed_subscriptions_total,electricity_access_percent,internet_users_total,mobile_cellular_subscriptions_total,roadways_km
SAO TOME AND PRINCIPE,21.507,20.4,66.7,1.45,1.88,4100.0,94.8,220372.0,15.91,22.9,2512.0,78.0,112200.0,189239.0,1300.0
SAUDI ARABIA,3.75,32.0,,1.65,3.24,44300.0,97.6,35939806.0,7.36,28.8,7890261.0,100.0,36000000.0,45427321.0,221372.0
SENEGAL,9.0,19.0,43.7,2.52,3.9,2600.0,56.3,18384660.0,6.34,8.2,1000.0,46.0,4900000.0,13795000.0,44301.0
SERBIA,99.396,43.7,23.2,0.63,7.55,19800.0,99.5,6693375.0,11.81,30.4,1730496.0,100.0,5589000.0,8501519.0,44248.0
SEYCHELLES,16.921,38.2,25.3,0.6,7.86,28800.0,95.9,97617.0,3.0,16.5,34966.0,100.0,90200.0,184161.0,526.0
SIERRA LEONE,10.0,19.2,56.8,2.41,4.1,1600.0,47.7,8908040.0,5.33,10.8,,27.0,1047499.0,8227093.0,11701.0
SINGAPORE,1.343,38.9,,0.9,7.61,106000.0,97.5,5975383.0,3.62,9.1,1509700.0,100.0,5369000.0,8660700.0,3500.0
SINT MAARTEN,1.79,41.1,,1.19,-6.6,35300.0,,45677.0,12.0,,,100.0,39089.0,68840.0,53.0
SLOVAKIA,0.845,42.5,11.9,0.13,3.01,31900.0,,5425319.0,6.74,21.5,1701561.0,100.0,4806000.0,7362325.0,56926.0
SLOVENIA,0.845,45.9,12.0,0.08,8.21,40000.0,99.7,2099790.0,4.42,13.9,651604.0,100.0,1869000.0,2607268.0,38985.0
SOLOMON ISLANDS,8.03,24.8,12.7,1.69,-0.2,2400.0,,714766.0,1.03,1.9,1000.0,76.0,255600.0,470000.0,1390.0
SOMALIA,23.0,19.0,,2.49,4.05,1100.0,,12693796.0,19.86,34.7,119000.0,49.0,2465000.0,8844000.0,15000.0
SOUTH AFRICA,14.779,30.1,55.5,1.08,4.91,13300.0,95.0,58048332.0,33.56,64.2,1303057.0,89.0,42480000.0,100328005.0,750000.0
SOUTH SUDAN,306.355,18.7,76.4,4.78,-5.2,1600.0,34.5,12118379.0,13.91,21.0,200.0,7.0,869000.0,3300000.0,90200.0
SPAIN,2.7,46.3,,0.12,7.4,34000.0,98.6,47222613.0,5.6,33.9,2700.0,100.0,2473.0,5000.0,683175.0
SRI LANKA,198.764,33.9,4.1,0.56,3.33,13400.0,92.3,23326272.0,5.39,26.1,1781530.0,100.0,14740000.0,30764134.0,114093.0
SUDAN,53.996,19.1,46.5,2.55,-1.87,3700.0,60.7,49197555.0,19.81,35.6,28782.0,61.0,13248000.0,16688773.0,31000.0
SURINAME,18.239,31.6,70.0,1.11,-2.73,14800.0,95.0,639759.0,10.06,30.5,92270.0,98.0,402600.0,906170.0,4304.0
SVALBARD,8.308,,,0.03,,,,2926.0,,,,,,,40.0
SWEDEN,8.577,41.0,17.1,0.51,2.6,54800.0,,10536338.0,8.66,24.5,4179574.0,100.0,8800000.0,12843683.0,573134.0
SWITZERLAND,,44.0,,0.78,,,,8563760.0,,9.1,,,,,
SYRIA,514.6,23.9,82.5,6.39,-3.87,2900.0,86.4,22933531.0,10.57,26.2,1549356.0,88.0,8492468.0,16990714.0,69873.0
TAIWAN,28.211,44.0,1.5,0.03,2.71,47800.0,98.5,23588613.0,3.73,,5831470.0,,21600000.0,30000000.0,43206.0
TAJIKISTAN,11.309,22.7,26.3,1.94,9.2,3900.0,99.8,9245937.0,7.75,17.4,6000.0,99.0,3009054.0,12000000.0,30000.0
TANZANIA,2.0,18.9,26.4,2.75,4.28,2600.0,81.8,65642682.0,2.65,4.6,1135608.0,42.0,20480000.0,54000000.0,145203.0
THAILAND,31.977,41.0,9.9,0.2,1.53,17100.0,94.1,69794997.0,1.42,7.0,11478265.0,100.0,61200000.0,120000000.0,180053.0
TIMOR-LESTE,1.0,20.3,41.8,2.1,5.29,5000.0,68.1,1476042.0,5.07,13.8,75.0,100.0,507000.0,1400000.0,6040.0
TOGO,554.531,20.5,55.1,2.45,5.26,2100.0,66.5,8703961.0,4.0,9.7,52706.0,55.0,3010000.0,6300000.0,9951.0
TOKELAU,1.543,,,0.01,,6004.0,,1647.0,2.0,,,,800.0,,10.0
TONGA,2.265,25.4,22.5,0.3,-2.67,6100.0,99.4,105221.0,3.97,11.1,5000.0,100.0,73700.0,64000.0,680.0
TRINIDAD AND TOBAGO,6.759,38.0,20.0,0.12,-1.03,23000.0,99.0,1407460.0,4.8,12.7,376771.0,100.0,1185000.0,2000000.0,
TUNISIA,2.794,34.0,15.2,0.63,4.32,10400.0,82.7,11976182.0,16.82,38.3,1334059.0,99.0,9480000.0,16000000.0,
TURKEY (TURKIYE),8.85,33.6,14.4,0.64,11.35,31500.0,96.7,83593483.0,13.39,24.3,16734853.0,100.0,68850000.0,86000000.0,67333.0
TURKMENISTAN,4.125,30.7,0.2,0.95,6.3,15000.0,99.7,5690818.0,5.08,11.0,10000.0,100.0,1563023.0,6300000.0,58592.0
TURKS AND CAICOS ISLANDS,,35.9,,1.81,2.1,18500.0,,59367.0,10.0,,,100.0,37008.0,25085.0,121.0
TUVALU,1.311,27.5,26.3,0.81,2.99,4900.0,,11639.0,,20.6,450.0,99.0,7920.0,9000.0,8.0
UGANDA,3.0,16.1,21.4,3.22,3.54,2200.0,79.0,47729952.0,2.94,4.3,58594.0,45.0,4600000.0,30000000.0,20544.0
UKRAINE,27.286,45.3,1.1,2.33,3.4,10700.0,100.0,43306477.0,8.88,16.5,7769401.0,100.0,34596356.0,56000000.0,169694.0
UNITED ARAB EMIRATES,3.673,35.7,19.5,0.58,3.92,69700.0,98.1,9973449.0,3.36,10.7,3245123.0,100.0,9400000.0,18000000.0,4080.0
UNITED KINGDOM,0.73,40.6,,0.49,4.1,46200.0,,68138484.0,4.5,13.2,27050000.0,100.0,65001016.0,80220000.0,394428.0
UNITED STATES,1.0,38.5,15.1,0.68,5.95,63700.0,,339665118.0,3.9,9.6,119870000.0,100.0,311870000.0,496800000.0,6586610.0
URUGUAY,43.555,36.2,8.8,0.27,4.37,22800.0,98.8,3416264.0,10.45,32.9,1063701.0,100.0,3060000.0,4700000.0,77732.0
UZBEKISTAN,10.0,28.7,14.1,1.61,7.42,7700.0,100.0,31360836.0,7.16,16.0,4820009.0,99.0,26180000.0,35000000.0,86496.0
VANUATU,109.453,24.2,,1.59,0.45,2800.0,89.1,313046.0,2.18,5.4,2785.0,70.0,211200.0,250000.0,1070.0
VENEZUELA,9.975,30.8,33.1,2.4,-19.67,7704.0,97.5,30518260.0,6.41,14.9,2561556.0,99.0,22734162.0,17000000.0,96189.0
VIETNAM,23.0,32.7,6.7,0.93,2.56,10600.0,95.8,104799174.0,2.17,7.2,16699249.0,100.0,71780000.0,140000000.0,195468.0
VIRGIN ISLANDS,,42.7,28.9,0.49,-2.15,37000.0,,104917.0,13.27,27.0,,100.0,67508.0,80000.0,1260.0
WALLIS AND FUTUNA,110.2,35.8,,0.23,,3800.0,,15929.0,8.8,,,,5496.0,0.0,
WEST BANK,3.606,21.7,18.0,2.1,7.05,5600.0,97.5,3176549.0,24.9,39.6,373050.0,100.0,3938199.0,4052966.0,4686.0
WORLD,,31.0,,1.03,5.87,17000.0,86.7,7979261010.0,6.18,17.9,1.0,91.0,,8.0,
YEMEN,1.0,21.6,48.6,1.83,-5.9,2500.0,70.1,31565602.0,13.57,25.5,391000.0,74.0,8229624.0,15000000.0,71300.0
ZAMBIA,20.018,18.2,54.4,2.86,4.6,3200.0,86.7,20216029.0,13.03,26.1,82317.0,46.0,3990000.0,20000000.0,67671.0
ZIMBABWE,88.552,21.0,38.3,1.99,8.47,2100.0,89.7,15418674.0,5.17,7.3,203461.0,48.0,5600000.0,14257590.0,97267.0
