Country,airports_paved_runways_count,airports_unpaved_runways_count,heliports_count,roadways_km,railways_km,waterways_km,gas_pipelines_km,oil_pipelines_km,refined_products_pipelines_km,water_pipelines_km
GREECE,68.0,9.0,9.0,117000.0,2345.0,6.0,1466.0,94.0,,
GREENLAND,10.0,5.0,,,,,,,,
GRENADA,3.0,225.0,,1127.0,,,,,,
GUAM,4.0,1.0,,1045.0,,,,,,
GUATEMALA,16.0,275.0,1.0,17440.0,800.0,990.0,,480.0,,
GUERNSEY,2.0,,,260.0,,,,,,
GUINEA-BISSAU,9.0,11.0,,16665.0,906.0,1000.0,43.0,,,
GUYANA,11.0,106.0,,3995.0,,330.0,,,,
HONDURAS,13.0,90.0,,14742.0,699.0,465.0,,,,
HUNGARY,20.0,21.0,3.0,203601.0,7687.0,1622.0,5874.0,,,
ICELAND,7.0,89.0,,12898.0,,,,,,
INDIA,253.0,93.0,45.0,6371847.0,68525.0,14500.0,16000.0,8943.0,13977.0,
INDONESIA,186.0,487.0,76.0,496607.0,8159.0,21579.0,1064.0,,,
IRAN,140.0,179.0,26.0,223485.0,,850.0,973.0,,,
IRAQ,72.0,30.0,16.0,59623.0,2272.0,5279.0,2455.0,5432.0,,
IRELAND,16.0,24.0,,99830.0,1688.0,956.0,2427.0,,,
ISLE OF MAN,1.0,,,1107.0,63.0,,,,,
ISRAEL,33.0,9.0,3.0,20391.0,1497.0,,763.0,442.0,,
ITALY,98.0,31.0,5.0,487700.0,18475.0,2400.0,20223.0,1393.0,,
JAMAICA,11.0,17.0,,22121.0,,,,,,
JAN MAYEN,1.0,1.0,,,,,,,,
JAPAN,142.0,33.0,16.0,1218772.0,27311.0,1770.0,4456.0,174.0,,104.0
JERSEY,1.0,,,576.0,,,,,,
JORDAN,16.0,2.0,1.0,7203.0,509.0,,473.0,49.0,,
KAZAKHSTAN,63.0,33.0,3.0,96167.0,16636.0,43983.0,15429.0,,,
KENYA,16.0,181.0,,161452.0,3819.0,,,1432.0,,
KIRIBATI,4.0,15.0,,670.0,,5.0,,,,
"KOREA, NORTH",39.0,43.0,23.0,25554.0,7435.0,2250.0,,,,
"KOREA, SOUTH",71.0,40.0,466.0,100428.0,3979.0,1600.0,3790.0,16.0,,
KOSOVO,3.0,3.0,2.0,2012.0,437.0,,,,,
KUWAIT,4.0,3.0,4.0,5749.0,,,261.0,540.0,,
KYRGYZSTAN,18.0,10.0,,34000.0,424.0,576.0,4195.0,,,
LAOS,8.0,33.0,,39586.0,422.0,4600.0,,,,
LATVIA,18.0,24.0,1.0,70244.0,2216.0,300.0,1213.0,,,
LEBANON,5.0,3.0,1.0,21705.0,401.0,,88.0,,,
LESOTHO,3.0,21.0,,5940.0,,,,,,
LIBERIA,2.0,27.0,,10600.0,429.0,,,,,
LIBYA,68.0,78.0,2.0,37000.0,,,3743.0,7005.0,,
LIECHTENSTEIN,40.0,23.0,2.0,71557.0,5296.0,1292.0,1800.0,94.0,,
LITHUANIA,22.0,39.0,,84166.0,1911.0,441.0,1921.0,,,
LUXEMBOURG,1.0,1.0,1.0,2875.0,271.0,37.0,142.0,,,
MACAU,1.0,,2.0,428.0,,,,,,
MADAGASCAR,26.0,57.0,,31640.0,836.0,600.0,,,,
MALAWI,7.0,25.0,,15452.0,767.0,700.0,,,,
MALAYSIA,39.0,75.0,4.0,144403.0,1851.0,7200.0,6439.0,1937.0,,
MALDIVES,7.0,2.0,,93.0,,,,,,
MALI,8.0,17.0,2.0,139107.0,593.0,1800.0,,,,
MALTA,1.0,392.0,2.0,3096.0,,,,,,
MARSHALL ISLANDS,4.0,11.0,,2028.0,,,,,,
MAURITANIA,9.0,21.0,,12253.0,728.0,1086.0,,,,
MEXICO,243.0,1471.0,1.0,704884.0,23389.0,2900.0,17210.0,,,
"MICRONESIA, FEDERATED STATES OF",6.0,,,,,,,,,
MOLDOVA,5.0,2.0,,9352.0,1171.0,558.0,2026.0,,,
MONACO,,,1.0,,,,,,,
MONGOLIA,15.0,29.0,1.0,113200.0,1815.0,580.0,,,,
MONTENEGRO,5.0,621.0,1.0,7762.0,250.0,,,,,
MOROCCO,36.0,26.0,1.0,57300.0,2067.0,,944.0,270.0,,
MOZAMBIQUE,21.0,77.0,,31083.0,4787.0,460.0,972.0,,,
NAURU,1.0,6.0,,30.0,,,,,,
NEPAL,11.0,36.0,,27990.0,59.0,,,,,
NETHERLANDS,23.0,6.0,1.0,139124.0,3055.0,6237.0,14000.0,2500.0,3000.0,
NEW CALEDONIA,12.0,13.0,8.0,5622.0,,,,,,
NICARAGUA,12.0,135.0,,23897.0,,2220.0,,54.0,,
NIGER,10.0,20.0,1.0,18949.0,,300.0,,464.0,,
NIGERIA,40.0,14.0,5.0,195000.0,3798.0,8600.0,4045.0,4441.0,,
NIUE,1.0,24.0,,234.0,,,,,,
NORFOLK ISLAND,1.0,27.0,,80.0,,,,,,
NORTH MACEDONIA,8.0,2.0,,14182.0,699.0,,262.0,120.0,,
NORTHERN MARIANA ISLANDS,3.0,2.0,1.0,536.0,,,,,,
NORWAY,67.0,28.0,1.0,94902.0,3848.0,1577.0,8520.0,1304.0,,
OMAN,13.0,119.0,3.0,60230.0,,,4224.0,3558.0,,
PAKISTAN,108.0,43.0,23.0,264175.0,11881.0,,13452.0,3663.0,,
PALAU,1.0,2.0,,125.0,,,,,,
PANAMA,57.0,60.0,3.0,,77.0,800.0,,128.0,,
PAPUA NEW GUINEA,21.0,540.0,2.0,9349.0,,11000.0,,264.0,,
PARACEL ISLANDS,1.0,,,,,,,,,
